index,variable,question
540,V161396,PRE FTF CASI/WEB: Mention: Radio news or talk shows
541,V161397,
542,V161398,
543,V161399,
544,V161400,PRE FTF CASI/WEB: Mention: Have not heard anything about the presidential campaign from any
545,V161401,PRE FTF CASI/WEB: Mention: TV PROG 20/20
546,V161402,PRE FTF CASI/WEB: Mention: TV PROG All In with Chris Hayes
547,V161403,PRE FTF CASI/WEB: Mention: TV PROG The Blacklist
548,V161404,PRE FTF CASI/WEB: Mention: TV PROG CBS Evening News with Scott Pelley
549,V161405,
550,V161406,
551,V161407,
552,V161408,PRE FTF CASI/WEB: Mention: TV PROG Criminal Minds
553,V161409,PRE FTF CASI/WEB: Mention: TV PROG Empire
554,V161410,PRE FTF CASI/WEB: Mention: TV PROG Hannity
555,V161411,PRE FTF CASI/WEB: Mention: TV PROG Jimmy Kimmel Live
556,V161412,PRE FTF CASI/WEB: Mention: TV PROG The Kelly File
557,V161413,PRE FTF CASI/WEB: Mention: TV PROG Modern Family
558,V161414,PRE FTF CASI/WEB: Mention: TV PROG NCIS
559,V161415,PRE FTF CASI/WEB: Mention: TV PROG The Nightly Show with Larry Wilmore
560,V161416,PRE FTF CASI/WEB: Mention: TV PROG Sunday Night Football
561,V161417,PRE FTF CASI/WEB: Mention: TV PROG Scorpion
562,V161418,PRE FTF CASI/WEB: Mention: TV PROG The Simpsons
563,V161419,PRE FTF CASI/WEB: Mention: TV PROG Today
564,V161420,PRE FTF CASI/WEB: Mention: TV PROG 60 Minutes
565,V161421,PRE FTF CASI/WEB: Mention: TV PROG Anderson Cooper 360
566,V161422,PRE FTF CASI/WEB: Mention: TV PROG CBS This Morning
567,V161423,PRE FTF CASI/WEB: Mention: TV PROG Dancing with the Stars
568,V161424,PRE FTF CASI/WEB: Mention: TV PROG Face the Nation
569,V161425,PRE FTF CASI/WEB: Mention: TV PROG House of Cards
570,V161426,PRE FTF CASI/WEB: Mention: TV PROG Hardball with Chris Matthews
571,V161427,PRE FTF CASI/WEB: Mention: TV PROG Judge Judy
572,V161428,PRE FTF CASI/WEB: Mention: TV PROG Meet the Press
573,V161429,PRE FTF CASI/WEB: Mention: TV PROG Game of Thrones
574,V161430,PRE FTF CASI/WEB: Mention: TV PROG NBC Nightly News with Lester Holt
575,V161431,PRE FTF CASI/WEB: Mention: TV PROG On the Record with Greta Van Susteren
576,V161432,PRE FTF CASI/WEB: Mention: TV PROG Daredevil
577,V161433,PRE FTF CASI/WEB: Mention: TV PROG The Rachel Maddow Show
578,V161434,PRE FTF CASI/WEB: Mention: TV PROG Shark Tank
579,V161435,PRE FTF CASI/WEB: Mention: TV PROG The Voice
580,V161436,PRE FTF CASI/WEB: Mention: TV PROG ABC World News with David Muir
581,V161437,PRE FTF CASI/WEB: Mention: TV PROG Blue Bloods
582,V161438,PRE FTF CASI/WEB: Mention: TV PROG Conan
583,V161439,PRE FTF CASI/WEB: Mention: TV PROG Dateline NBC
584,V161440,PRE FTF CASI/WEB: Mention: TV PROG Good Morning America
585,V161441,PRE FTF CASI/WEB: Mention: TV PROG Hawaii Five-O
586,V161442,PRE FTF CASI/WEB: Mention: TV PROG Madam Secretary
587,V161443,PRE FTF CASI/WEB: Mention: TV PROG Nancy Grace
588,V161444,PRE FTF CASI/WEB: Mention: TV PROG Erin Burnett OutFront
589,V161445,PRE FTF CASI/WEB: Mention: TV PROG PBS News Hour
590,V161446,PRE FTF CASI/WEB: Mention: TV PROG Scandal
591,V161447,PRE FTF CASI/WEB: Mention: TV PROG The Big Bang Theory
592,V161448,PRE FTF CASI/WEB: Mention: TV PROG The Late Show with Stephen Colbert
593,V161449,PRE FTF CASI/WEB: Mention: TV PROG The O'Reilly Factor
594,V161450,PRE FTF CASI/WEB: Mention: TV PROG The Tonight Show Starring Jimmy Fallon
595,V161451,PRE FTF CASI/WEB: Mention: TV PROG Alpha House
596,V161452,PRE FTF CASI/WEB: Mention: TV PROG Al Punto
597,V161453,PRE FTF CASI/WEB: Mention: TV PROG Al Rojo Vivo
598,V161454,PRE FTF CASI/WEB: Mention: TV PROG Aqui y Ahora
599,V161455,
600,V161456,
601,V161457,
602,V161458,PRE FTF CASI/WEB: Mention: TV PROG CNN en Espanol
603,V161459,PRE FTF CASI/WEB: Mention: TV PROG Despierta America
604,V161460,PRE FTF CASI/WEB: Mention: TV PROG El Gordo y La Flaca
605,V161461x,PRE FTF CASI/WEB: Mention: TV PROG Enfoque
606,V161462,PRE FTF CASI/WEB: Mention: TV PROG Hoy
607,V161463,PRE FTF CASI/WEB: Mention: TV PROG Lo Mejor de Caso Cerrado
608,V161464,PRE FTF CASI/WEB: Mention: TV PROG Noticiero Enrique Gratas
609,V161465,PRE FTF CASI/WEB: Mention: TV PROG Noticiero Telemundo
610,V161466,PRE FTF CASI/WEB: Mention: TV PROG Noticiero Univision
611,V161467,PRE FTF CASI/WEB: Mention: TV PROG El Senor de los Cielos
612,V161468,PRE FTF CASI/WEB: Mention: TV PROG Que Noche! con Angelica y Raul
613,V161469,PRE FTF CASI/WEB: Mention: TV PROG Primer Impacto
614,V161470,PRE FTF CASI/WEB: Mention: TV PROG Cronicas de Sabado
615,V161471,PRE FTF CASI/WEB: Mention: Radio PROG Rush Limbaugh
616,V161472,PRE FTF CASI/WEB: Mention: Radio PROG Morning Edition (NPR)
617,V161473,PRE FTF CASI/WEB: Mention: Radio PROG The Sean Hannity Show
618,V161474,PRE FTF CASI/WEB: Mention: Radio PROG All Things Considered (NPR)
619,V161475,PRE FTF CASI/WEB: Mention: Radio PROG Marketplace (NPR)
620,V161476,PRE FTF CASI/WEB: Mention: Radio PROG The Glenn Beck Program
621,V161477,PRE FTF CASI/WEB: Mention: Radio PROG The Mark Levin Show
622,V161478,PRE FTF CASI/WEB: Mention: Radio PROG The Savage Nation (Michael Savage)
623,V161479,PRE FTF CASI/WEB: Mention: Radio PROG Fresh Air (NPR)
624,V161480,PRE FTF CASI/WEB: Mention: Radio PROG The Hugh Hewitt Show
625,V161481,PRE FTF CASI/WEB: Mention: Radio PROG The Thom Hartmann Program
626,V161482,PRE FTF CASI/WEB: Mention: Radio PROG Joe Madison (The Black Eagle)
627,V161483,PRE FTF CASI/WEB: Mention: Radio PROG The Mike Gallagher Show
628,V161484,PRE FTF CASI/WEB: Mention: Radio PROG The Bill Handel Show
629,V161485,PRE FTF CASI/WEB: Mention: Radio PROG The Schnitt Show (Todd Schnitt)
630,V161486,PRE FTF CASI/WEB: Mention: Radio PROG None of the above
631,V161487,PRE FTF CASI/WEB: Mention: Website Yahoo News (www.yahoo.com/news)
632,V161488,PRE FTF CASI/WEB: Mention: Website CNN.com
633,V161489,PRE FTF CASI/WEB: Mention: Website NBC News (www.nbcnews.com)
634,V161490,PRE FTF CASI/WEB: Mention: Website Huffington Post (www.huffingtonpost.com)
635,V161491,PRE FTF CASI/WEB: Mention: Website CBS News (www.cbsnews.com)
636,V161492,PRE FTF CASI/WEB: Mention: Website USA Today (usatoday.com)
637,V161493,PRE FTF CASI/WEB: Mention: Website Buzzfeed.com
638,V161494,PRE FTF CASI/WEB: Mention: Website New York Times (nytimes.com)
639,V161495,PRE FTF CASI/WEB: Mention: Website Fox News (www.foxnews.com)
640,V161496,PRE FTF CASI/WEB: Mention: Website Mail Online / Daily Mail (dailymail.co.uk)
641,V161497,PRE FTF CASI/WEB: Mention: Website Washington Post (washingtonpost.com)
642,V161498,PRE FTF CASI/WEB: Mention: Website Business Insider (businessinsider.com)
643,V161499,PRE FTF CASI/WEB: Mention: Website BBC News (news.bbc.co.uk)
644,V161500,PRE FTF CASI/WEB: Mention: Website The Guardian (theguardian.com)
645,V161501,PRE FTF CASI/WEB: Mention: Website ABC News (abcnews.com)
646,V161502,PRE FTF CASI/WEB: Mention: Website Other
647,V161503,PRE FTF CASI/WEB: Mention: Website None
648,V161504,PRE FTF CASI/WEB: SUMMARY- Number of additional preloaded newspapers
649,V161505,
650,V161506,
651,V161507,
652,V161508,PRE FTF CASI/WEB: RESTRICTED- 5th newspaper
653,V161509,PRE FTF CASI/WEB: RESTRICTED- 6th newspaper
654,V161510,PRE FTF CASI/WEB: RESTRICTED- 7th newspaper
655,V161511,PRE FTF CASI/WEB: RESTRICTED- 8th newspaper
656,V161512,PRE FTF CASI/WEB: RESTRICTED- 9th newspaper
657,V161513,PRE FTF CASI/WEB: RESTRICTED- 10th newspaper
658,V161514,PRE FTF CASI/WEB: RESTRICTED- 11th newspaper
659,V161515,PRE FTF CASI/WEB: Mention: Printed newspaper The New York Times
660,V161516,PRE FTF CASI/WEB: Mention: Printed newspaper USA Today
661,V161517,PRE FTF CASI/WEB: Mention: Printed newspaper The Wall Street News
662,V161518,PRE FTF CASI/WEB: Mention: Printed newspaper The Washington Post
663,V161519,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[5]
664,V161520,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[6]
665,V161521,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[7]
666,V161522,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[8]
667,V161523,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[9]
668,V162001,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[10]
669,V162002,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[11]
670,V162003,PRE FTF CASI/WEB: Mention: Other printed newspaper
671,V162004,PRE FTF CASI/WEB: Mention: No printed newspaper
672,V162005,PRE FTF CASI/WEB: Mention: www.nytimes.com (New York
673,V162006,PRE FTF CASI/WEB: Mention: www.usatoday.com (USA
674,V162007,PRE FTF CASI/WEB: Mention: online.wsj.com (Wall Street Journal)
675,V162007a,PRE FTF CASI/WEB: Mention: www.washingtonpost.com (Washington Post)
676,V162008,PRE FTF CASI/WEB: Mention: Online newspaper inews[5]
677,V162009,PRE FTF CASI/WEB: Mention: Online newspaper inews[6]
678,V162010,PRE FTF CASI/WEB: Mention: Online newspaper inews[7]
679,V162011,PRE FTF CASI/WEB: Mention: Online newspaper inews[8]
680,V162012,PRE FTF CASI/WEB: Mention: Online newspaper inews[9]
681,V162013,PRE FTF CASI/WEB: Mention: Online newspaper inews[10]
682,V162014,PRE FTF CASI/WEB: Mention: Online newspaper inews[11]
683,V162014a,PRE FTF CASI/WEB: Mention: Other online newspaper
684,V162014b,PRE FTF CASI/WEB: Mention: No online newspaper
685,V162016,PRE FTF CASI/WEB: No. days in wk R uses soc media to learn Pres election
686,V162016a,PRE FTF CASI / WEB: How many Guns owned
687,V162016b,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set B
688,V162017,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set D
689,V162018a,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set E
690,V162018b,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set F
691,V162018c,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set G
692,V162018d,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set H
693,V162018e,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set J
694,V162019,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set K
695,V162020a,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set L
696,V162020c,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set O
697,V162020b,PRE FTF CASI / WEB: Innocent remarks as sexist
698,V162020d,PRE FTF CASI / WEB: Women fail to appreciate what men do for them
699,V162021a,
700,V162021b,PRE FTF CASI / WEB: Women seek to gain power by getting control over men
701,V162021c,PRE FTF CASI / WEB: Women put men on a tight leash
702,V162022,PRE FTF CASI / WEB: Sexual orientation of R
703,V162022a,PRE FTF CASI / WEB: Sexual orientation of family and friends
704,V162023,PRE FTF CASI / WEB: Years Senator Elected
705,V162024a,PRE FTF CASI / WEB: Political knowledge: program Fed govt spends
706,V162024b,PRE FTF CASI / WEB: Party with Most Members In House Before Election
707,V162025,PRE FTF CASI / WEB: Party with Most Members In Senate Before Election
708,V162026a,PRE WEB ONLY: ease of online access
709,V162026b,PRE FTF CASI ONLY: R rating of interviewer
710,V162026c,PRE FTF CASI ONLY: R rating of interviewer degree
711,V162026d,PRE FTF CASI ONLY: R rating of interview
712,V162026e,PRE FTF CASI ONLY: R rating of interview degree
713,V162027,PRE: How satisfied is R with life
714,V162028,PRE WEB ONLY: RESTRICTED R comments
715,V162028x,POST-ELECTION VARIABLES
716,V162029,POST: FTF ONLY: Audio recording consent
717,V162029x,POST: How many programs about 2016 campaign did R watch on TV
718,V162030,POST: How many speeches about 2016 campaign did R listen to on radio
719,V162030x,POST: How many times R got info about 2016 campaign on the Internet
720,V162031,POST: How many stories R read about 2016 campaign in any newspaper
721,V162031x,POST: Did R visit website of candidate
722,V162032x,POST: Did party contact R about 2016 campaign
723,V162033,POST: Which party contacted R about 2016 campaign
724,V162033a,POST: Did anyone other than parties contact R about cands
725,V162033x,POST: Anyone talk to R abt registering or getting out to vote
726,V162034,POST: R talk to anyone about voting for or against cand or pty
727,V162034a,"POST: R go to any political meetings, rallies, speeches"
728,V162035,POST: R wear campaign button or post sign or bumper sticker
729,V162036,POST: R do any (other) work for party or candidate
730,V162036a,POST: R contribute money to specific candidate campaign
731,V162037,POST: Party of candidate for whom R contributed money
732,V162037a,POST: RESTRICTED- Other specify - party of candidate for whom R contributed
733,V162038,POST: R contribute money to political party
734,V162038x,POST: Party to which R contributed
735,V162039,POST: RESTRICTED- Other specify - party to which R contributed
736,V162040,POST: R contribute to any other group for/against a cand
737,V162041,POST: DHS: Has R in past 12 months: joined a protest march
738,V162042,POST: DHS: Has R in past 12 months: signed petition
739,V162043,POST: DHS: Has R in past 12 months: given money to relig org
740,V162044,POST: DHS: Has R in past 12 months: gave money to soc/pol org
741,V162045x,POST: DHS: sent a message on Facebook/Twitter about polit iss
742,V162046,POST: Contact U.S. Representative or Senator
743,V162047,POST: Who did R contact: was it U.S. Senator from R's state
744,V162048,POST: Who did R contact: was it R's district U.S. Representative
745,V162049,POST: Who did R contact: was it U.S. Senator from another state
746,V162050,POST: Who did R contact: was it other U.S. Representative
747,V162051,
748,V162052,
749,V162053,
750,V162054,POST: Vote section- order of major party candidate names / FTF Ballot Color
751,V162055,POST: Vote section- household address preloaded (sample address)
752,V162056,POST: Vote section- candidate names preloaded for sample address
753,V162057,POST: R registered to vote (Post-election)
754,V162058x,POST WEB: Is R registered (registration address not answered)
755,V162059x,POST: Address of registration given (not registered at sample address)
756,V162060x,POST: State included in address of registration (not registered at samp addr)
757,V162061x,POST: City included in Post address of registration (not registered at samp addr)
758,V162062x,POST: State of registration - reg state not given (not registered at samp addr)
759,V162063x,POST: State of regist for Post vote section (Pre nonvoter; reg state given Pre or Post)
760,V162064x,POST: State of regist for Post vote section same as sample address state
761,V162065x,POST: Senate race in state of registration (all registrations)
762,V162066x,POST: Governor race in state of registration (all registrations)
763,V162067x,POST: Party registration in state of registration (all registrations)
764,V162068x,POST: Is R registered to vote in preload county (not reg at sample address)
765,V162069x,POST: How many years has R been registered at registration location
766,V162070a,PRE-POST: SUMMARY- years has R been registered at registration location
767,V162070b,POST: Was name recorded for registration name
768,V162070c,PRE-POST: SUMMARY - Name recorded for registration name
769,V162070d,POST: Party of registration
770,V162070e,PRE-POST: SUMMARY - Party of registration
771,V162070f,POST: Did R vote in the November 2016 elections
772,V162070g,PRE-POST: SUMMARY -Did R vote in 2016
773,V162070h,POST: SUMMARY - Post vote status for registered respondents
774,V162070i,POST: FTF ONLY: IWR CHECKPOINT: have correct Post ballot card
775,V162070j,POST: FTF ONLY: IWR error at Ballot Card checkpoint
776,V162071,POST: SUMMARY - administration of Post vote module
777,V162072,POST: Did R vote for President
778,V162073a,POST: For whom did R vote for President
779,V162073b,POST: Preference strong for Pres cand for whom R voted
780,V162074a,POST: Text- How long before election R made decision Pres vote
781,V162074b,POST: Code- How long before election R made decision Pres vote
782,V162075a,POST: Does R prefer Pres cand (did not vote)
783,V162075b,POST: Preference for Pres cand (did not vote)
784,V162076a,POST: Preference strong for Pres cand (did not vote)
785,V162076b,POST: SUMMARY- Preference for Pres cand (did not vote)
786,V162078,POST: Did R vote for U.S. House of Representatives
787,V162079,POST: For whom did R vote for U.S. House (ballot card)
788,V162080,POST: For whom did R vote for U.S. House (no ballot card)
789,V162081,POST: Does R prefer U.S. House candidate
790,V162082,POST: Whom does R prefer for U.S. House (ballot card)
791,V162083,POST: Whom does R prefer for U.S. House (no ballot card)
792,V162084,POST SUMMARY: Senate and Governor races
793,V162085,POST: Did R vote for U.S. Senate
794,V162086,POST: R's vote for U.S. Senate (ballot card)
795,V162087,POST: R's vote for U.S. Senate (no ballot card)
796,V162088,POST: Does R prefer U.S. Senate candidate
797,V162089,
798,V162090,
799,V162091,
800,V162092,POST: Whom does R prefer for U.S. Senate (ballot card)
801,V162093,POST: Whom does R prefer for U.S. Senate (no ballot card)
802,V162094,POST: Did R vote for governor
803,V162095,POST: R's vote for governor(ballot card)
804,V162096,POST: R's vote for governor (no ballot card)
805,V162097,POST: Does R prefer gubernatorial candidate
806,V162098,POST: Whom does R prefer for governor (ballot card)
807,V162099,POST: Whom does R prefer for governor (no ballot card)
808,V162100,POST: SUMMARY -Post-election Presidential vote/pref
809,V162101,POST: SUMMARY - party of Post-election U.S. House vote/preference
810,V162102,POST: SUMMARY - party of Post-election U.S. Senate vote/preference
811,V162103,POST: SUMMARY - party of Post-election gubernatorial vote/pref
812,V162104,2016 PRE-POST VOTE SUMMARY: 2016 Presidential vote
813,V162105,2016 PRE-POST VOTE SUMMARY: 2016 Pre intent vote for Pres - Post vote for Pres
814,V162106,2016 PRE-POST NONVOTER SUMMARY: 2016 Pre pref for Pres - Post pref for Pres
815,V162107,2016 PRE-POST REG/TURNOUT SUMMARY: 2016 registration - turnout status
816,V162108,2016 PRE-POST VOTE SUMMARY: 2016 Presidential vote w/strength
817,V162109,2016 PRE-POST VOTE SUMMARY: party of 2016 U.S. House vote
818,V162110,2016 PRE-POST VOTE SUMMARY: party of 2016 U.S. Senate vote
819,V162111,2016 PRE-POST VOTE SUMMARY: party of 2016 Governor vote
820,V162112,POST: Reason R not registered to vote - didn't meet registration deadline
821,V162113,POST: Reason R not registered to vote - didn't know where/how to register
822,V162114,POST: Reason R not registered to vote - didn't have required ID
823,V162114a,POST: Reason R not registered to vote - didn't meet residency requirements
824,V162114b,POST: Reason R not registered to vote - permanent illness/disability
825,V162114x,POST: Reason R not registered to vote - difficulty w/English
826,V162115,POST: Reason R not registered to vote - not interested in election/politics
827,V162116a,POST: Reason R not registered to vote - thought vote wouldn't make a difference
828,V162116a_1,POST: Reason R not registered to vote - not eligible to vote
829,V162116a_2,POST: Reason R not registered to vote - other reasons
830,V162116a_3,POST: Other reason why R not registered
831,V162116a_4,POST: Office recall: Vice-President Biden
832,V162116a_5,POST: Office recall: Speaker of the House Ryan
833,V162116a_6,POST: Office recall: Speaker of the House Ryan [Scheme 2]
834,V162116a_7,POST: Office recall: Chancellor of Germany Merkel
835,V162116a_8,POST: Office recall: Chancellor of Germany Merkel [Scheme 2]
836,V162116a_9,POST: Office recall: President of Russia Putin
837,V162116a_10,POST: Office recall: President of Russia Putin [Scheme 2]
838,V162117,POST: Office recall: US Supreme Ct Chief Justice Roberts
839,V162118a,POST: Office recall: US Supreme Ct Chief Justice Roberts [Scheme 2]
840,V162118a_1,POST: Feeling thermometer: Democratic Presidential candidate
842,V162118a_2,POST: Feeling thermometer: Republican Presidential candidate
843,V162118a_3,POST: Feeling thermometer: Libertarian Presidential candidate
844,V162118a_4,POST: Feeling thermometer: Green Party Presidential candidate
845,V162118a_5,POST: Feeling thermometer: HOUSE DEMOCRATIC CANDIDATE
846,V162118a_6,POST: Feeling thermometer: HOUSE REPUBLICAN CANDIDATE
847,V162118a_7,POST: Feeling thermometer: HOUSE IND/3rd-PARTY CANDIDATE
848,V162118a_8,
849,V162118a_9,
850,V162119,
851,V162120a,POST: Feeling thermometer: SENATE DEMOCRATIC CANDIDATE
852,V162120a_1,POST: Feeling thermometer: SENATE REPUBLICAN CANDIDATE
853,V162120a_2,POST: Feeling thermometer: SENATE IND/3rd-PARTY CANDIDATE
854,V162120a_3,POST: Feeling thermometer: SR. SENATOR IN STATE WITHOUT RACE
855,V162120a_4,POST: Feeling thermometer: JR. SENATOR IN STATE WITHOUT RACE
856,V162120a_5,POST: Feeling thermometer: NONRUNNING SENATOR IN STATE W/RACE
857,V162120a_6,POST: Feeling thermometer: Democratic Vice Presidential cand
858,V162121,POST: Feeling thermometer: Republican Vice Presidential cand
859,V162122a,POST: Feeling thermometer: John Roberts
860,V162122a_1,POST: Feeling thermometer: Pope Francis
861,V162122a_2,POST: Feeling thermometer: CHRISTIAN FUNDAMENTALISTS
862,V162122a_3,POST: Feeling thermometer: FEMINISTS
863,V162122a_4,POST: Feeling thermometer: LIBERALS
864,V162122a_5,POST: Feeling thermometer: LABOR UNIONS
865,V162123,POST: Feeling thermometer: POOR PEOPLE
866,V162124,POST: Feeling thermometer: BIG BUSINESS
867,V162125,POST: Feeling thermometer: CONSERVATIVES
868,V162125x,POST: Feeling thermometer: THE U.S. SUPREME COURT
869,V162126,POST: Feeling thermometer: GAY MEN AND LESBIANS
870,V162127,POST: Feeling thermometer: CONGRESS
871,V162128,POST: Feeling thermometer: RICH PEOPLE
872,V162129,POST: Feeling thermometer: MUSLIMS
873,V162130,POST: Feeling thermometer: CHRISTIANS
874,V162131,POST: Feeling thermometer: JEWS
875,V162132,POST: Feeling thermometer: TEA PARTY
876,V162133,POST: Feeling thermometer: POLICE
877,V162134,POST: Feeling thermometer: TRANSGENDER PEOPLE
878,V162135,POST: Feeling thermometer: SCIENTISTS
879,V162136,POST: Feeling thermometer: BLACK LIVES MATTER
880,V162136x,POST: Approve or disapprove of House incumbent
881,V162137,POST: How much approve House incumbent
882,V162138,POST: How much disapprove House incumbent
883,V162139,POST: SUMMARY- House incumbent approval
884,V162140,POST: How good a job does House incumbent do in district
885,V162141,POST: Mention 1 most important problems facing the country
886,V162142,"POST: Most Important Problem - Mention 1, Idea 1"
887,V162143,"POST: Most Important Problem - Mention 1, Idea 2"
888,V162144,"POST: Most Important Problem - Mention 1, Idea 3"
889,V162145,"POST: Most Important Problem - Mention 1, Idea 4"
890,V162146,"POST: Most Important Problem - Mention 1, Idea 5"
891,V162147,"POST: Most Important Problem - Mention 1, Idea 6"
892,V162147x,"POST: Most Important Problem - Mention 1, Idea 7"
893,V162148,"POST: Most Important Problem - Mention 1, Idea 8"
894,V162149,"POST: Most Important Problem - Mention 1, Idea 9"
895,V162150,"POST: Most Important Problem - Mention 1, Idea 10"
896,V162150x,POST: Party to deal with mention 1 MIP
897,V162151,POST: Mention 2 most important problems facing the country
898,V162152a,
899,V162152b,841
900,V162153,
901,V162154a,
902,V162154b,"POST: Most Important Problem - Mention 2, Idea 1"
903,V162155a,"POST: Most Important Problem - Mention 2, Idea 2"
904,V162155b,"POST: Most Important Problem - Mention 2, Idea 3"
905,V162155x,"POST: Most Important Problem - Mention 2, Idea 4"
906,V162156x,"POST: Most Important Problem - Mention 2, Idea 5"
907,V162157,"POST: Most Important Problem - Mention 2, Idea 6"
908,V162158,"POST: Most Important Problem - Mention 2, Idea 7"
909,V162159,"POST: Most Important Problem - Mention 2, Idea 8"
910,V162160,"POST: Most Important Problem - Mention 2, Idea 9"
911,V162161,POST: Party to deal with mention 2 MIP
912,V162162,POST: Mention 3 most important problems facing the country
913,V162162x,"POST: Most Important Problem - Mention 3, Idea 1"
914,V162163,"POST: Most Important Problem - Mention 3, Idea 2"
915,V162164,"POST: Most Important Problem - Mention 3, Idea 3"
916,V162165,"POST: Most Important Problem - Mention 3, Idea 4"
917,V162166,"POST: Most Important Problem - Mention 3, Idea 5"
918,V162167,"POST: Most Important Problem - Mention 3, Idea 6"
919,V162168,POST: Party to deal with mention 3 MIP
920,V162169,POST: Which among mentions is the most important problem
921,V162170,POST: Most Important Problem - Idea 1
922,V162171,POST: Most Important Problem - Idea 2
923,V162171a,POST: Most Important Problem - Idea 3
924,V162172,POST: Most Important Problem - Idea 4
925,V162173,POST: Most Important Problem - Idea 5
926,V162174,POST: Better if rest of world more like America
927,V162174a,POST: How does R feel to see American flag
928,V162175,POST: How good/bad does R feel to see American flag
929,V162176,POST: SUMMARY- How good/bad does R feel to see American flag
930,V162176a,POST: Heard about Rep Presidential cand Trump 2005 video about women
931,V162176x,POST: Does Rep Presidential cand Trump 2005 video about women matter
932,V162177,POST: Think of self as belonging to class
933,V162178,POST: Is R working or middle class
934,V162179,POST: If R had to choose working/ middle class
935,V162180,POST: Average or upper working/ middle class
936,V162180a,POST: R social class
937,V162180x,"POST: Is R upper middle, middle, lower middle class"
938,V162181,POST: How much opportunity in America to get ahead
939,V162182,POST: Economic mobility compared to 20 yrs ago
940,V162183,POST: How much easier/harder is econ mobility compared to 20 yrs ago
941,V162184,POST: SUMMARY- Economic mobility easier/harder compared to 20 yrs ago
942,V162185,POST: What is current unemployment rate
943,V162186,POST: What is minimum wage in R state
944,V162188,POST: Importance of reducing deficit
945,V162188a,POST: Does R favor or oppose tax on millionaires
946,V162188x,POST: How often bought or boycotted product or service for pol/soc reason
947,V162189,POST: Health Care Law effect on health care services
948,V162189a,POST: Health Care Law effect on number insured
949,V162189x,
950,V162190,
951,V162191,
952,V162191a,POST: Health Care Law effect on cost of health care
953,V162192,POST: Health Care Law effect on cost of R's health care
954,V162193,POST: Does R favor or oppose vaccines in schools
955,V162193a,POST: How much favor or oppose vaccines in schools
956,V162193x,POST: SUMMARY- Favor/oppose vaccines in schools
957,V162194,POST: Does R favor or oppose govt reducing income ineqality
958,V162195,POST: Does R favor or oppose requiring equal pay for men and women
959,V162196,POST: How much favor or oppose requiring equal pay for men and women
960,V162197,POST: SUMMARY- Favor/oppose equal pay for men and women
961,V162198,POST: Changes in security at public places
962,V162199a,POST: Does R favor or oppose limits on foreign imports [REV]
963,V162200,POST: Does R favor or oppose limits on foreign imports [STD]
964,V162201a,POST: Is U.S. too supportive of Israel or not supportive enough
965,V162202,POST: How much U.S. support Israel in conflict w/Palestinians [ISR 1st]
966,V162203a,POST: How much U.S. support Palestinians in conflict w/Israel [ISR 1st]
967,V162204,POST: How much U.S. support Palestinians in conflict w/Israel [PAL 1st]
968,V162205a,POST: How much U.S. support Israel in conflict w/Palestinians [PAL 1st]
969,V162207,POST: SUMMARY- How much should U.S. support Israelis
970,V162208,POST: SUMMARY- How much should U.S. support Palestinians
971,V162209,POST: What should immigration levels be
972,V162210,POST: How likely immigration will take away jobs
973,V162211,POST: China military threat
974,V162212,POST: How worried about terrorist attack next 12 months
975,V162213,POST: Health benefits of vaccinations outweigh risks
976,V162214,POST: Vaccinations benefit/risk strength
977,V162215,POST: SUMMARY- Benefits/risks of vaccinations
978,V162216,POST: Put off checkup and vaccines
979,V162217,POST: Will you pay all costs
980,V162218,POST: Worry about financial situation
981,V162219,POST: Able to make housing payments
982,V162220,POST: Anyone lost jobs
983,V162221,POST: Country needs free thinkers
984,V162222,POST: Country would be great by getting rid of rotten apples
985,V162223,POST: Country needs strong leader to take us back to true path
986,V162224,POST: 7pt scale liberal-Conservate: self placement
987,V162225,"POST: If had to choose, liberal or conservative"
988,V162226,POST: 7pt scale liberal-conservative: Democratic House cand
989,V162227,POST: 7pt scale liberal-conservative: Republican House cand
990,V162228,POST: Ever discuss politics with family or friends
991,V162229a,POST: Days in past week discussed politics
992,V162229b,POST: Is increasing trade w/other countries good for U.S.
993,V162229x,POST: Does R favor or oppose free trade agreements w/other countries
994,V162230,POST: How strongly favor/oppose free trade agreements w/other countries
995,V162230a,POST: SUMMARY- Favor/oppose free trade agreements
996,V162230b,POST: Should govt encourage/discourage outsourcing
997,V162230x,POST: Has increase in govt wiretap powers gone too far
