varname,summary
dem_unionwho_personoth,PRE: Who belongs to labor union: mention another person
dem_unionwho_dkrf,PRE: FTF ONLY: Who belongs to labor union: mention DK/RF
dem_class,PRE: Think of self as belonging to class
dem_whichclass,PRE: Social Class: working or middle
dem_whichclass_oth,PRE: Other specify- Social Class: working or middle
dem_chclass,PRE: Social Class: had to choose working/middle
dem_chclass_oth,PRE: Other specify- Social Class: had to choose working/middle
dem_avgclass,PRE: Social class: average or upper working/middle class
dem_avgclass_oth,PRE: Other specify- Social class: avg or upper working/middle class
dem_hisp,"PRE: R: Are you Spanish, Hispanic, or Latino"
dem_hisptyp_1st,PRE: FTF ONLY: Ordered mentions Hispanic type – 1st mention
dem_hisptyp_2nd,PRE: FTF ONLY: Ordered mentions Hispanic type – 2nd mention
dem_hisptyp_mex,PRE: R: Which Hispanic group are you- mention Mexican
dem_hisptyp_mexam,PRE: R: Which Hispanic group are you- mention Mexican-American
dem_hisptyp_chicano,PRE: R: Which Hispanic group are you- mention Chicano
dem_hisptyp_puertorican,PRE: R: Which Hispanic group are you- mention Puerto Rican
dem_hisptyp_cuban,PRE: R: Which Hispanic group are you- mention Cuban
dem_hisptyp_cubanam,PRE: R: Which Hispanic group are you- mention Cuban-American
dem_hisptyp_othhisp,PRE: R: Which Hispanic group are you- mention other Hispanic
dem_hisptyp_dkrf,PRE: FTF ONLY: R: Which Hispanic group are you- DK/RF
dem_hispoth,PRE: RESTRICTED: R other Hispanic group
dem_hispmost,PRE: R: Hispanic group R most identifies with
dem_hispmost_oth,PRE: RESTRICTED: Other specify- Hispanic group R most identifies with
dem_racecps_1st,PRE: FTF ONLY: Ordered race self-identification: 1st mention
dem_racecps_2nd,PRE: FTF ONLY: Ordered race self-identification: 2nd mention
dem_racecps_3rd,PRE: FTF ONLY: Ordered race self-identification: 3rd mention
dem_racecps_white,PRE: Race self-identification: mention White
dem_racecps_black,PRE: Race self-identification: mention Black
dem_racecps_native,PRE: Race self-identification: mention Native American
dem_racecps_asian,PRE: Race self-identification: mention Asian
dem_racecps_pacif,PRE: Race self-identification: mention Pacific Islander
dem_racecps_othrace,PRE: Race self-identification: mention other race
dem_racecps_racedkrf,PRE: FTF ONLY: Race self-identification: DK/RF
dem_racecps_oth,PRE: RESTRICTED: Other specify- Race self-identification
dem_raceeth_x,PRE: SUMMARY- R race and ethnicity group
dem_ethnic,PRE: RESTRICTED: Ethnic or nationality group
dem_numeth,PRE: FTF ONLY: IWR CHECKPOINT: number of ethnic mentions
dem_mosteth,PRE: RESTRICTED: Ethnic group most close
dem_parents,PRE: Native status of parents
dem_nativity,"PRE: Rs: born U.S., Puerto Rico, or some other country"
dem_nativity_oth,"PRE: RESTRICTED: Oth spec- R: born U.S., Puerto Rico, or other country"
dem_hispgpar,PRE: LATINO Rs: how many grandparents born outside the U.S.
dem_hispcntry,PRE: RESTRICTED: LATINO Rs: country of Latino heritage
dem_hispcntry_oth,PRE: RESTRICTED: Other specify- LATINO Rs: country of Latino heritage
dem_arr,PRE: RESTRICTED: NON-US BORN Rs: When did R arrive in U.S.
dem_arrperiod,PRE: NON-US BORN Rs: Time period when R arrived in U.S.
dem_cit,PRE: RESTRICTED: NON-US BORN Rs: In what year did R become a U.S. citizen
dem_citperiod,PRE: NON-US BORN Rs: Time period when R became citizen
dem_hisplang,PRE: LATINO Rs: language at home
dem2_ch10less,PRE: How many children in HH age 10 or younger
dem2_ch11to17,PRE: How many children in HH age 11-17
dem2_numchild,PRE: Total Number of children in HH
dem2_schenrl_1st,PRE: FTF ONLY: Ordered school enrollment of child(ren)- 1st mention
dem2_schenrl_2nd,PRE: FTF ONLY: Ordered school enrollment of child(ren)- 2nd mention
dem2_schenrl_3rd,PRE: FTF ONLY: Ordered school enrollment of child(ren)- 3rd mention
dem2_schenrl_public,PRE: School enrollment of child(ren)- mention public
dem2_schenrl_privrel,PRE: School enrollment of child(ren)- mention private religious
dem2_schenrl_privnonrel,PRE: School enrollment of child(ren)- mention private nonreligious
dem2_schenrl_home,PRE: School enrollment of child(ren)- mention home school
dem2_schenrl_enrollno,PRE: School enrollment of child(ren)- mention no enrollment
dem2_schenrl_enrolldkrf,PRE: FTF ONLY: School enrollment of child(ren)- DK/RF
dem2_inethome,PRE: Internet use at home
dem2_inettyp,PRE: Broadband or dial-up home Internet connection
dem2_landline,PRE: Number of landline telephone numbers at home
dem2_cellnum,PRE: Number of cell phone numbers in household
dem2_cellpers,PRE: Does R personally have a cell phone
dem2_smartph,PRE: Is R’s cell phone a smartphone
dem3_grewup,PRE: Where R grew up (STATE OR COUNTRY)
dem3_yearscomm,PRE: How long lived in this community YRS collapsed
dem3_yearscomm_full,PRE: RESTRICTED: How long lived in this community YRS (full)
dem3_moscomm,PRE: RESTRICTED: How long lived in this community MONTHS
dem3_prevzip,PRE: RESTRICTED: Zip Code of previous residence
dem3_prevcty,PRE: RESTRICTED: City/state of previous residence
dem3_ownhome,PRE: Does R family own/rent home
dem3_ownhome_oth,PRE: Other specify- Does R family own/rent home
dem3_namech,PRE: Name ever changed
dem3_namechyr,PRE: RESTRICTED: Year of most recent change
dem3_altname,PRE: Use of alternate names
dem3_lenaddr,PRE: Years R lived at address (collapsed)
dem3_lenaddr_full,PRE: RESTRICTED: Years R lived at address (full)
dem3_add5yr_state,"PRE: RESTRICTED: If R has lived in current state <5yrs, R state 5 yrs ago"
dem3_add5yr_samestate,"PRE: If R has lived in current state <5yrs, R state 5 yrs ago same"
dem3_driver,PRE: Does R have unexpired Driver’s License
dem3_passport,PRE: Does R have passport
dem3_govtid,PRE: Does R have government issued ID
casistart_iwrset4,PRE: FTF CASI ONLY: SETUP TEST- Does R have a dog
casistart_iwrset6,PRE: FTF CASI ONLY: SETUP TEST- What R ate for breakfast
selfgend_gender,PRE: FTF CASI ONLY: are you (R) male or female (not IWR obs)
wealth_stocks,PRE: CASI/WEB Has R ever nvested in Stock Market
wealth_whoinvest,PRE: CASI/WEB R stock market investment through work
wealth_vachome,PRE: CASI/WEB Has R ever owned vacation home
wealth_ownrental,PRE: CASI/WEB Has R ever owned property that you rented
wealth_stockgrnts,PRE: CASI/WEB Has R every been awarded stock grants or options
wealth_undland,PRE: CASI/WEB Has R ever owned underdeveloped land
wealth_investbus,PRE: CASI/WEB Has R ever invested in someone’s business
inc_totinc,PRE: RESTRICTED: CASI/WEB Total income amount
inc_totmiss40,PRE: CASI/WEB Total income amt missing – is it ge or lt 40K
inc_totmiss20,PRE: CASI/WEB Total income amt missing – is it ge or lt 20K
inc_totl20,PRE: CASI/WEB Total income amt missing – is it categories lt 20K
inc_totg20l40,PRE: CASI/WEB Total income amt missing – is it categories 20-40K
inc_totmiss70,PRE: CASI/WEB Total income amt missing – is it ge or lt 70K
inc_totg40l70,PRE: CASI/WEB Total income amt missing – is it categories 40-70K
inc_totmiss100,PRE: CASI/WEB Total income amt missing – is it ge or lt 100K
inc_totg70l100,PRE: CASI/WEB Total income amt missing – is it categories 70-100K
inc_totg100,PRE: CASI/WEB Total income amt missing – is it categories 100+K
inc_incgroup_pre,PRE: CASI/WEB: SUMARY- Pre family income (see also: incgroup_prepost)
medsrc_campsrcs_1st,PRE: FTF CASI ONLY: Ordr’d med srces R followd abt the Pres: 1st mentn
medsrc_campsrcs_2nd,PRE: FTF CASI ONLY: Ordr’d med srces R followd abt the Pres: 2nd mentn
medsrc_campsrcs_3rd,PRE: FTF CASI ONLY: Ordr’d med srces R followd abt the Pres: 3rd mentn
medsrc_campsrcs_4th,PRE: FTF CASI ONLY: Ordr’d med srces R followd abt the Pres: 4th mentn
medsrc_campsrcs_5th,PRE: FTF CASI ONLY: Ordr’d med srces R followd abt the Pres: 5th mentn
medsrc_campsrcs_tvnews,PRE: CASI/WEB Media srces R followed about the Pres: mention TV news
medsrc_campsrcs_newsp,PRE: CASI/WEB Media srces R foll’d about the Pres: mention newspapers
medsrc_campsrcs_tvtalk,PRE: CASI/WEB Media srces R foll’d abt the Pres: mention TV talk shows
medsrc_campsrcs_inet,PRE: CASI/WEB Media sources R followed about the Pres: mention Intnet
medsrc_campsrcs_radio,PRE: CASI/WEB Media sources R followed about the Pres: mention radio
medsrc_campsrcs_none,PRE: CASI/WEB Media sources R followed about the Pres: none
medsrc_campsrcs_dkrf,PRE: FTF ONLY: CASI Media sources R followed about the Pres: DK/RF
medsrc_tvprog_01,PRE: CASI/WEB Which tv programs R watches regularly: none on screen 1
medsrc_tvprog_02,PRE: CASI/WEB Which tv progs R watches regularly: mention 60 Minutes
medsrc_tvprog_03,PRE: CASI/WEB Wch tv prgs R watches reg’ly: mention ABC News Nightline
medsrc_tvprog_04,PRE: CASI/WEB Wch tv prgs R watch reg’ly: mentn ABC World News Tonight
medsrc_tvprog_05,PRE: CASI/WEB Which tv progs R watches regularly: mention America Live
medsrc_tvprog_06,PRE: CASI/WEB Wch tv prgs R watches reg’ly: mentn America This Morning
medsrc_tvprog_07,PRE: CASI/WEB Wch tv progs R watches reg’ly: mentn America’s Newsroom
medsrc_tvprog_08,PRE: CASI/WEB Wch tv progs R watches regularly: mention American Idol
medsrc_tvprog_09,PRE: CASI/WEB Wch tv progs R watches regularly: mentn Anderson Cooper
medsrc_tvprog_10,PRE: CASI/WEB Wch tv progs R watches reg’ly: mentn The Big Bang Theory
medsrc_tvprog_11,PRE: CASI/WEB Wch tv progs R watches regularly: mentn CBS Evening News
medsrc_tvprog_12,PRE: CASI/WEB Wch tv progs R watches regularly: mentn CBS This Morning
medsrc_tvprog_13,PRE: CASI/WEB Wch tv progs R watches reg’ly: mentn Chris Matthews Show
medsrc_tvprog_14,PRE: CASI/WEB Wch tv progs R watches regularly: mention Colbert Report
medsrc_tvprog_15,PRE: CASI/WEB Tv prgs R wtch reg’ly: mentn Daily Show with Jon Stewart
medsrc_tvprog_16,PRE: CASI/WEB Wch tv progs R watch regly: mentn Dancing with the Stars
medsrc_tvprog_17,PRE: CASI/WEB Which tv progs R watches regularly: mention Dateline NBC
medsrc_tvprog_18,PRE: CASI/WEB Which tv programs R watches regularly: mention Doctors
medsrc_tvprog_19,PRE: CASI/WEB Tv prgs R watches reg’ly: mentn The Ellen DeGeneres Show
medsrc_tvprog_20,PRE: CASI/WEB Which tv progs R watches reg’ly: mention Face the Nation
medsrc_tvprog_21,PRE: CASI/WEB Which tv programs R watches regularly: mention The Five
medsrc_tvprog_22,PRE: CASI/WEB Which tv progs R watches regularly: mention Fox Report
medsrc_tvprog_23,PRE: CASI/WEB Which tv programs R watches regularly: mention Frontline
medsrc_tvprog_24,PRE: CASI/WEB Wch tv progs R watches regly: mentn Good Morning America
medsrc_tvprog_25,PRE: CASI/WEB Which tv programs R watches regularly: mention Hannity
medsrc_tvprog_26,PRE: CASI/WEB Which tv programs R watches regularly: mention Huckabee
medsrc_tvprog_27,PRE: CASI/WEB Which tv programs R watches regularly: mention Insider
medsrc_tvprog_28,PRE: CASI/WEB Wch tv progs R watches reg’ly: mention Jimmy Kimmel Live
medsrc_tvprog_29,PRE: CASI/WEB Which tv programs R watches reg’ly: mention Key & Peele
medsrc_tvprog_30,PRE: CASI/WEB Tv prgs R watch: The Late Late Show with Craig Ferguson
medsrc_tvprog_31,PRE: CASI/WEB Tv prgs R watch: mention Late Show with David Letterman
medsrc_tvprog_32,PRE: CASI/WEB Wch tv programs R watches reg’ly: mention Meet the Press
medsrc_tvprog_33,PRE: CASI/WEB Wch tv programs R watches reg’ly: mention The Mentalist
medsrc_tvprog_34,PRE: CASI/WEB Wch tv programs R watches reg’ly: mentn NBC Nightly News
medsrc_tvprog_35,PRE: CASI/WEB Which tv programs R watches regularly: mention NCIS
medsrc_tvprog_36,PRE: CASI/WEB Which tv progs R watches reg’ly: mention O’Reilly Factor
medsrc_tvprog_37,PRE: CASI/WEB Tv prgs R watches: On the Record with Greta Van Susteren
medsrc_tvprog_38,PRE: CASI/WEB Wch tv progs R watches reg’ly: mentn Person of Interest
medsrc_tvprog_39,PRE: CASI/WEB Tv prgs R watch reg’ly: Rock Center with Brian Williams
medsrc_tvprog_40,PRE: CASI/WEB Wch tv progs R watches reg’ly: mentn Saturday Night Live
medsrc_tvprog_41,PRE: CASI/WEB Tv prgs R watches reg’ly: Special Report with Bret Baier
medsrc_tvprog_42,PRE: CASI/WEB Which tv programs R watches reg’ly: mention Tavis Smiley
medsrc_tvprog_43,PRE: CASI/WEB Which tv progs R watches reg’ly: mention Sunday Morning
medsrc_tvprog_44,PRE: CASI/WEB Which tv programs R watches regularly: mention The View
medsrc_tvprog_45,PRE: CASI/WEB Which tv programs R watches regularly: mention This Week
medsrc_tvprog_46,PRE: CASI/WEB Which tv progs R watches regularly: mention Today Show
medsrc_tvprog_47,PRE: CASI/WEB Which tv programs R watches reg’ly: mention The Voice
medsrc_tvprog_48,PRE: CASI/WEB Which tv programs R watches regularly: mention The Talk
medsrc_tvprog_49,PRE: CASI/WEB Which tv programs R watches regularly: mention Al Punto
medsrc_tvprog_50,PRE: CASI/WEB Which tv progs R watches regularly: mention Al Rojo Vivo
medsrc_tvprog_51,PRE: CASI/WEB Which tv progs R watches regularly: mention Aqui y Ahora
medsrc_tvprog_52,PRE: CASI/WEB Which tv progs R watches reg’ly: mention CNN en Espanol
medsrc_tvprog_53,PRE: CASI/WEB Wch tv progs R watches reg’ly: mention Despierta America
medsrc_tvprog_54,PRE: CASI/WEB Wch tv progs R watches reg’ly: mentn ElGordo y La Flaca
medsrc_tvprog_55,PRE: CASI/WEB Which tv programs R watches regularly: mention Enfoque
medsrc_tvprog_56,PRE: CASI/WEB Which tv programs R watches regularly: mention Hoy
medsrc_tvprog_57,PRE: CASI/WEB Wch tv prgs R watches reg’ly: Lo Mejor de Caso Cerrado
medsrc_tvprog_58,PRE: CASI/WEB Wch tv progs R watches reg’ly: Noticiero Enrique Gratas
medsrc_tvprog_59,PRE: CASI/WEB Which tv programs R watches reg’ly: Noticiero Telemundo
medsrc_tvprog_60,PRE: CASI/WEB Wch tv progs R watches reg’ly: mentn Noticiero Univision
medsrc_tvprog_61,PRE: CASI/WEB Which tv progs R watches reg’ly: Pa’lante con Cristiana
medsrc_tvprog_62,PRE: CASI/WEB Which tv progs R watches reg’ly: mentn Pequenos Gigantes
medsrc_tvprog_63,PRE: CASI/WEB Which tv progs R watches reg’ly: mention Primer Impacto
medsrc_tvprog_64,PRE: CASI/WEB Which tv progs R watches reg’ly: mention Sabado Gigante
medsrc_tvprog_nonescr1,PRE: CASI/WEB Which tv programs R watches regularly: none on screen 1
medsrc_tvprog_nonescr2,PRE: CASI/WEB Which tv programs R watches regularly: none on screen 2
medsrc_tvprog_nonescr3,PRE: CASI/WEB Which tv programs R watches regularly: none on screen 3
medsrc_tvprog_nonescr4,PRE: CASI/WEB Which tv programs R watches regularly: none on screen 4
medsrc_tvprog_dkscr1,PRE: FTF ONLY: CASI Which television programs R watches regularly: screen 1 DK
medsrc_tvprog_dkscr2,PRE: FTF ONLY: CASI Which television programs R watches regularly: screen 2 DK
medsrc_tvprog_dkscr3,PRE: FTF ONLY: CASI Which television programs R watches regularly: screen 3 DK
medsrc_tvprog_dkscr4,PRE: FTF ONLY: CASI Which television programs R watches regularly: screen 4 DK
medsrc_tvprog_rfscr1,PRE: CASI/WEB Which television programs R watches regularly: screen 1 RF
medsrc_tvprog_rfscr2,PRE: CASI/WEB Which television programs R watches regularly: screen 2 RF
medsrc_tvprog_rfscr3,PRE: CASI/WEB Which television programs R watches regularly: screen 3 RF
medsrc_tvprog_rfscr4,PRE: CASI/WEB Which television programs R watches regularly: screen 4 RF
medsrc_radio_01,PRE: CASI/WEB Radio prgs R lstns reg’ly: All Things Considered (NPR)
medsrc_radio_02,PRE: CASI/WEB Radio progs R lstns reg’ly: mention The Dave Ramsey Show
medsrc_radio_03,PRE: CASI/WEB Radio progs R lstns reg’ly: mention The Ed Shultz Show
medsrc_radio_04,PRE: CASI/WEB Radio progs R listens regularly: mention Fresh Air (NPR)
medsrc_radio_05,PRE: CASI/WEB Radio progs R lstns to reg’ly: mentn Glenn Beck Program
medsrc_radio_06,PRE: CASI/WEB Radio prgs R lstns reg’ly: mentn The Laura Ingraham Show
medsrc_radio_07,PRE: CASI/WEB Radio progs R listens reg’ly: mentn The Mark Levin Show
medsrc_radio_08,PRE: CASI/WEB Radio progs R lstns reg’ly: mentn Morning Edition (NPR)
medsrc_radio_09,PRE: CASI/WEB Radio progs R listens reg’ly: mentn The Neal Boortz Show
medsrc_radio_10,PRE: CASI/WEB Radio prgs R lstns reg’ly: mentn The Power (Joe Madison)
medsrc_radio_11,PRE: CASI/WEB Radio progs R lstns reg’ly: mentn The Rush Limbaugh Show
medsrc_radio_12,PRE: CASI/WEB Radio prgs R lstns: The Savage Nation (Michael Savage)
medsrc_radio_13,PRE: CASI/WEB Radio progs R lstns reg’ly: mentn The Sean Hannity Show
medsrc_radio_14,PRE: CASI/WEB Radio progs R listens reg’ly: Talk of the Nation (NPR)
medsrc_radio_15,PRE: CASI/WEB Radio progs R listens reg’ly: The Thom Hartmann Program
medsrc_radio_none,PRE: CASI/WEB Radio progs R listens reg’ly: none of the above selected
medsrc_radio_dkrf,PRE: FTF ONLY: CASI Which radio programs R listens to regularly: DK/RF
medsrc_websites_01,PRE: CASI/WEB Wch websites R visits reg’ly: ABC News (abcnews.go.com)
medsrc_websites_02,PRE: CASI/WEB Which web sites R visits regularly: CNN (cnn.com)
medsrc_websites_03,PRE: CASI/WEB Wbsites R visits regly: Drudge Report (drudgereport.com)
medsrc_websites_04,PRE: CASI/WEB Which web sites R visits regularly: Forbes (forbes.com)
medsrc_websites_05,PRE: CASI/WEB Which web sites R visits reg’ly: Fox News (foxnews.com)
medsrc_websites_06,PRE: CASI/WEB Websites R visits: Good Morning America (gma.yahoo.com)
medsrc_websites_07,PRE: CASI/WEB Wch sites R visits reg’ly: Google News (news.google.com)
medsrc_websites_08,PRE: CASI/WEB Websites R visits: Huffington Post (huffingtonpost.com)
medsrc_websites_09,PRE: CASI/WEB Sites R visits reg’ly: Los Angeles Times (latimes.com)
medsrc_websites_10,PRE: CASI/WEB Which web sites R visits reg’ly: MSNBC (msnbc.msn.com)
medsrc_websites_11,PRE: CASI/WEB Wch sites R visits reg’ly: New York Times (nytimes.com)
medsrc_websites_12,PRE: CASI/WEB Sites R visits reg’ly: Today Show (today.msnbc.msn.com)
medsrc_websites_13,PRE: CASI/WEB Wch websites R visits reg’ly: USA Today (usatoday.com)
medsrc_websites_14,PRE: CASI/WEB Websites R visits: Washington Post (washingtonpost.com)
medsrc_websites_15,PRE: CASI/WEB Wch wbsites R visits reg’ly: Yahoo News (news.yahoo.com)
medsrc_websites_othweb,PRE: CASI/WEB Which websites R visits regularly: mention other website
medsrc_websites_oth,PRE: CASI/WEB Other specify- Which web sites R visits regularly
medsrc_websites_none,PRE: CASI/WEB Which sites R visits reg’ly: none of the above selected
medsrc_websites_dkrf,PRE: FTF ONLY: CASI Which web sites R visits regularly: DK/RF
medsrc_printnews_01,PRE: CASI/WEB Print papers R reads: New York Times/ www.nytimes.com
medsrc_printnews_02,PRE: CASI/WEB Print papers R reads reg’ly: USA Today/ www.usatoday.com
medsrc_printnews_03,PRE: CASI/WEB Print paprs R reads: Wall Street Journal/ online.wsj.com
medsrc_printnews_04,PRE: CASI/WEB Pnt papr R read: Washington Post/ www.washingtonpost.com
medsrc_printnews_05,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 05
medsrc_printnews_06,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 06
medsrc_printnews_07,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 07
medsrc_printnews_08,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 08
medsrc_printnews_09,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 09
medsrc_printnews_10,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 10
medsrc_printnews_11,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 11
medsrc_printnews_12,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 12
medsrc_printnews_13,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 13
medsrc_printnews_14,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 14
medsrc_printnews_15,PRE: CASI/WEB Which print papers R reads reg’ly: mention newspaper 15
medsrc_printnews_othnews,PRE: CASI/WEB Which print papers R reads reg’ly: mention other newsp
medsrc_printnews_none,PRE: CASI/WEB Print papers R reads reg’ly: none of the above selected
medsrc_printnews_dkrf,PRE: FTF ONLY: CASI Which print newspapers R reads regularly: DK/RF
medsrc_inetnews_01,PRE: CASI/WEB Onln paprs R read regly: New York Times/ www.nytimes.com
medsrc_inetnews_02,PRE: CASI/WEB Online paprs R reads reg’ly: USA Today/ www.usatoday.com
medsrc_inetnews_03,PRE: CASI/WEB Onlin paprs R reads: Wall Street Journal/ online.wsj.com
medsrc_inetnews_04,PRE: CASI/WEB Onl pprs R read: Washington Post/ www.washingtonpost.com
medsrc_inetnews_05,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 05
medsrc_inetnews_06,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 06
medsrc_inetnews_07,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 07
medsrc_inetnews_08,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 08
medsrc_inetnews_09,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 09
medsrc_inetnews_10,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 10
medsrc_inetnews_11,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 11
medsrc_inetnews_12,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 12
medsrc_inetnews_13,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 13
medsrc_inetnews_14,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 14
medsrc_inetnews_15,PRE: CASI/WEB Which online papers R reads reg’ly: mention newspaper 15
medsrc_inetnews_othnews,PRE: CASI/WEB Which online papers R reads reg’ly: mention other newsp
medsrc_inetnews_none,PRE: CASI/WEB Wch onlin paprs R reads reg’ly: none of the above selctd
medsrc_inetnews_dkrf,PRE: FTF ONLY: CASI Which online newspapers R reads regularly: DK/RF
medsrc_socmedia,PRE: CASI/WEB No.days in wk R uses soc media to lrn abt Pres election
medsrc_blogs,PRE: CASI/WEB No.days in week R uses blogs to learn abt Pres election
medsrc_specblogs,PRE: CASI/WEB Which blogs R uses to learn abt Pres election
owngun_owngun,PRE: CASI/WEB Does R own a gun
wordsum_setb,PRE: CASI/WEB Wordsum set B (incl DKRF) CORRECT/INCORRECT
wordsum_setd,PRE: CASI/WEB Wordsum set D (incl DKRF) CORRECT/INCORRECT
wordsum_sete,PRE: CASI/WEB Wordsum set E (incl DKRF) CORRECT/INCORRECT
wordsum_setf,PRE: CASI/WEB Wordsum set F (incl DKRF) CORRECT/INCORRECT
wordsum_setg,PRE: CASI/WEB Wordsum set G (incl DKRF) CORRECT/INCORRECT
wordsum_seth,PRE: CASI/WEB Wordsum set H (incl DKRF) CORRECT/INCORRECT
wordsum_setj,PRE: CASI/WEB Wordsum set J (incl DKRF) CORRECT/INCORRECT
wordsum_setk,PRE: CASI/WEB Wordsum set K (incl DKRF) CORRECT/INCORRECT
wordsum_setl,PRE: CASI/WEB Wordsum set L (incl DKRF) CORRECT/INCORRECT
wordsum_seto,PRE: CASI/WEB Wordsum set O (incl DKRF) CORRECT/INCORRECT
orientn_rgay,PRE: CASI/WEB Sexual orientation of R
orientn_knowgay,PRE: CASI/WEB Sexual orientation of family and friends
preknow_prestimes,PRE: CASI/WEB Polit knowledge: number times can be elected (incl DKRF)
preknow_sizedef,PRE: CASI/WEB Political knowledge: size of federal deficit (incl DKRF)
preknow_senterm,PRE: Years Senator Elected (incl DKRF)
preknow_medicare,PRE: CASI/WEB Political knowledge: What is Medicare (incl DKRF)
preknow_leastsp,PRE: CASI/WEB Political knowledge: program Fed govt spends (incl DKRF)
happ_lifesatisf,PRE: How satisfied is R with life
mediapo_tv,POST: Watch campaign programs on TV
mediapo_tvamt,POST: How many campaign programs on TV
mediapo_radio,POST: Hear radio speeches/discussn about Pres campaign
mediapo_radioamt,POST: How many radio speech/discussn abt Pres campaign
mediapo_nwsprev,POST: Read about Presidential campaign in newspaper
mediapo_nwsprevamt,POST: How many stories abt Pres campaign in newspaper
mediapo_net,POST: View/hear internet information abt Pres campaign
mediapo_netamt,POST: How often internet info about Pres campaign
mediapo_site,POST: Did R visit website of candidate
mediapo_siteamt,POST: How often visited website of candidate or party
mobilpo_party,POST: Did party contact R about 2012 campaign
mobilpo_wparty,POST: Which party contacted R about 2012 campaign
mobilpo_wparty_oth,POST: Other specify- Did party contact R about 2012 campaign
mobilpo_contactoth,POST: Did anyone other than parties contact R about cands
mobilpo_latino,POST: LATINO Rs: Was contact by Latino person(s)
mobilpo_lang,POST: LATINO Rs: Was contact in Spanish or English
mobilpo_reg,POST: Anyone talk to R abt registering or getting out to vote
mobilpo_rmob,POST: R talk to anyone about voting for or against cand or pty
mobilpo_rally,"POST: R go to any political meetings, rallies, speeches"
mobilpo_sign,POST: R wear campaign button or post sign or bumper sticker
mobilpo_otherwork,POST: R do any (other) work for party or candidate
mobilpo_ctbcand,POST: R contribute money to specific candidate campaign
mobilpo_ctbcndpty,POST: Party of candidate for whom R contributed money
mobilpo_ctbcndpty_oth,POST: RESTRICTED: Other specify – party of candidate for whom R contributed money
mobilpo_ctbpty,POST: R contribute money to political party
mobilpo_ctbwhpty,POST: Party to which R contributed
mobilpo_ctbwhpty_oth,POST: RESTRICTED: Other specify -party to which R contributed
mobilpo_ctboth,POST: R contribute to any other group for/against a cand
dhsinvolv_march,POST: DHS: Has R in past 4 years: joined a protest march
dhsinvolv_board,POST: DHS: Has R in past 4 years: attended city/school brd
dhsinvolv_netpetition,POST: DHS: Has R in past 4 years: sign internet petition
dhsinvolv_petition,POST: DHS: Has Rin past 4 years: signed paper petition
dhsinvolv_relig,POST: DHS: Has R in past 4 years: given money to relig. org
dhsinvolv_org,POST: DHS: Has R in past 4 years: gave money to soc/pol org
dhsinvolv_call,POST: DHS: Has R in past 4 yrs: called radio/TV about polit iss
dhsinvolv_message,POST: DHS: sent a message on Facebook/Twitter about polit iss
dhsinvolv_letter,POST: DHS: written a letter to newspaper/mag about polit iss
dhsinvolv_contact1,POST: Contact U.S. Representative or Senator
dhsinvolv_contact2_1st,POST: Who did R contact: U.S. Senator or Representative_1st mention
dhsinvolv_contact2_2nd,POST: Who did R contact: U.S. Senator or Representative_2nd mention
dhsinvolv_contact2_3rd,POST: Who did R contact: U.S. Senator or Representative_3rd mention
dhsinvolv_contact2_4th,POST: Who did R contact: U.S. Senator or Representative_4th mention
dhsinvolv_contact2_stsen,POST: Who did R contact: was it U.S. Senator from R’s state
dhsinvolv_contact2_othsen,POST: Who did R contact: was it U.S. Senator from another state
dhsinvolv_contact2_distrep,POST: Who did R contact: was it R’s district U.S. Representative
dhsinvolv_contact2_othrep,POST: Who did R contact: was it other U.S. Representative
dhsinvolv_contact2_dkrf,POST: FTF ONLY: Who did R contact: DK/RF
postvote_regpre,POST: FTF ONLY: Was R registered Pre-election
postvote_votedpre,POST: FTF ONLY: Did registered R report voting Pre-election
postvote_prestatus_nonvtr,POST: FTF ONLY: Status of pre-election nonvoters
postvote_regist_addr,POST: Is R registered at address of residence
postvote_regist_noaddr,POST: WEB ONLY: Is R registered (address not determined)
postvote_reg,POST: FTF ONLY: Other Registr. location- city and state identifiable
postvote_reg_state,POST: FTF ONLY: Other Regist. location – state of registr. (FIPS CODE)
postvote_reg_samestate,POST: FTF ONLY: Oth Regist. location – state same as household’s (Y/N)
