index,variable,question
513,V161369,PRE FTF CASI/WEB: Mention: TV PROG Criminal Minds
514,V161370,PRE FTF CASI/WEB: Mention: TV PROG Empire
515,V161371,PRE FTF CASI/WEB: Mention: TV PROG Hannity
516,V161372,PRE FTF CASI/WEB: Mention: TV PROG Jimmy Kimmel Live
517,V161373,PRE FTF CASI/WEB: Mention: TV PROG The Kelly File
518,V161374,PRE FTF CASI/WEB: Mention: TV PROG Modern Family
519,V161375,PRE FTF CASI/WEB: Mention: TV PROG NCIS
520,V161376,PRE FTF CASI/WEB: Mention: TV PROG The Nightly Show with Larry Wilmore
521,V161377,PRE FTF CASI/WEB: Mention: TV PROG Sunday Night Football
522,V161378,PRE FTF CASI/WEB: Mention: TV PROG Scorpion
523,V161379,PRE FTF CASI/WEB: Mention: TV PROG The Simpsons
524,V161380,PRE FTF CASI/WEB: Mention: TV PROG Today
525,V161381,PRE FTF CASI/WEB: Mention: TV PROG 60 Minutes
526,V161382,PRE FTF CASI/WEB: Mention: TV PROG Anderson Cooper 360
527,V161383,PRE FTF CASI/WEB: Mention: TV PROG CBS This Morning
528,V161384,PRE FTF CASI/WEB: Mention: TV PROG Dancing with the Stars
529,V161385,PRE FTF CASI/WEB: Mention: TV PROG Face the Nation
530,V161386,PRE FTF CASI/WEB: Mention: TV PROG House of Cards
531,V161387,PRE FTF CASI/WEB: Mention: TV PROG Hardball with Chris Matthews
532,V161388,PRE FTF CASI/WEB: Mention: TV PROG Judge Judy
533,V161389,PRE FTF CASI/WEB: Mention: TV PROG Meet the Press
534,V161390,PRE FTF CASI/WEB: Mention: TV PROG Game of Thrones
535,V161391,PRE FTF CASI/WEB: Mention: TV PROG NBC Nightly News with Lester Holt
536,V161392,PRE FTF CASI/WEB: Mention: TV PROG On the Record with Greta Van Susteren
537,V161393,PRE FTF CASI/WEB: Mention: TV PROG Daredevil
538,V161394,PRE FTF CASI/WEB: Mention: TV PROG The Rachel Maddow Show
539,V161395,PRE FTF CASI/WEB: Mention: TV PROG Shark Tank
540,V161396,PRE FTF CASI/WEB: Mention: TV PROG The Voice
541,V161397,PRE FTF CASI/WEB: Mention: TV PROG ABC World News with David Muir
542,V161398,PRE FTF CASI/WEB: Mention: TV PROG Blue Bloods
543,V161399,PRE FTF CASI/WEB: Mention: TV PROG Conan
544,V161400,PRE FTF CASI/WEB: Mention: TV PROG Dateline NBC
545,V161401,PRE FTF CASI/WEB: Mention: TV PROG Good Morning America
546,V161402,PRE FTF CASI/WEB: Mention: TV PROG Hawaii Five-O
547,V161403,PRE FTF CASI/WEB: Mention: TV PROG Madam Secretary
548,V161404,PRE FTF CASI/WEB: Mention: TV PROG Nancy Grace
549,V161405,PRE FTF CASI/WEB: Mention: TV PROG Erin Burnett OutFront
550,V161406,PRE FTF CASI/WEB: Mention: TV PROG PBS News Hour
551,V161407,PRE FTF CASI/WEB: Mention: TV PROG Scandal
552,V161408,PRE FTF CASI/WEB: Mention: TV PROG The Big Bang Theory
553,V161409,PRE FTF CASI/WEB: Mention: TV PROG The Late Show with Stephen Colbert
554,V161410,PRE FTF CASI/WEB: Mention: TV PROG The O'Reilly Factor
555,V161411,PRE FTF CASI/WEB: Mention: TV PROG The Tonight Show Starring Jimmy Fallon
556,V161412,PRE FTF CASI/WEB: Mention: TV PROG Alpha House
557,V161413,PRE FTF CASI/WEB: Mention: TV PROG Al Punto
558,V161414,PRE FTF CASI/WEB: Mention: TV PROG Al Rojo Vivo
559,V161415,PRE FTF CASI/WEB: Mention: TV PROG Aqui y Ahora
560,V161416,PRE FTF CASI/WEB: Mention: TV PROG CNN en Espanol
561,V161417,PRE FTF CASI/WEB: Mention: TV PROG Despierta America
562,V161418,PRE FTF CASI/WEB: Mention: TV PROG El Gordo y La Flaca
563,V161419,PRE FTF CASI/WEB: Mention: TV PROG Enfoque
564,V161420,PRE FTF CASI/WEB: Mention: TV PROG Hoy
565,V161421,PRE FTF CASI/WEB: Mention: TV PROG Lo Mejor de Caso Cerrado
566,V161422,PRE FTF CASI/WEB: Mention: TV PROG Noticiero Enrique Gratas
567,V161423,PRE FTF CASI/WEB: Mention: TV PROG Noticiero Telemundo
568,V161424,PRE FTF CASI/WEB: Mention: TV PROG Noticiero Univision
569,V161425,PRE FTF CASI/WEB: Mention: TV PROG El Senor de los Cielos
570,V161426,PRE FTF CASI/WEB: Mention: TV PROG Que Noche! con Angelica y Raul
571,V161427,PRE FTF CASI/WEB: Mention: TV PROG Primer Impacto
572,V161428,PRE FTF CASI/WEB: Mention: TV PROG Cronicas de Sabado
573,V161429,PRE FTF CASI/WEB: Mention: Radio PROG Rush Limbaugh
574,V161430,PRE FTF CASI/WEB: Mention: Radio PROG Morning Edition (NPR)
575,V161431,PRE FTF CASI/WEB: Mention: Radio PROG The Sean Hannity Show
576,V161432,PRE FTF CASI/WEB: Mention: Radio PROG All Things Considered (NPR)
577,V161433,PRE FTF CASI/WEB: Mention: Radio PROG Marketplace (NPR)
578,V161434,PRE FTF CASI/WEB: Mention: Radio PROG The Glenn Beck Program
579,V161435,PRE FTF CASI/WEB: Mention: Radio PROG The Mark Levin Show
580,V161436,PRE FTF CASI/WEB: Mention: Radio PROG The Savage Nation (Michael Savage)
581,V161437,PRE FTF CASI/WEB: Mention: Radio PROG Fresh Air (NPR)
582,V161438,PRE FTF CASI/WEB: Mention: Radio PROG The Hugh Hewitt Show
583,V161439,PRE FTF CASI/WEB: Mention: Radio PROG The Thom Hartmann Program
584,V161440,PRE FTF CASI/WEB: Mention: Radio PROG Joe Madison (The Black Eagle)
585,V161441,PRE FTF CASI/WEB: Mention: Radio PROG The Mike Gallagher Show
586,V161442,PRE FTF CASI/WEB: Mention: Radio PROG The Bill Handel Show
587,V161443,PRE FTF CASI/WEB: Mention: Radio PROG The Schnitt Show (Todd Schnitt)
588,V161444,PRE FTF CASI/WEB: Mention: Radio PROG None of the above
589,V161445,PRE FTF CASI/WEB: Mention: Website Yahoo News (www.yahoo.com/news)
590,V161446,PRE FTF CASI/WEB: Mention: Website CNN.com
591,V161447,PRE FTF CASI/WEB: Mention: Website NBC News (www.nbcnews.com)
592,V161448,PRE FTF CASI/WEB: Mention: Website Huffington Post (www.huffingtonpost.com)
593,V161449,PRE FTF CASI/WEB: Mention: Website CBS News (www.cbsnews.com)
594,V161450,PRE FTF CASI/WEB: Mention: Website USA Today (usatoday.com)
595,V161451,PRE FTF CASI/WEB: Mention: Website Buzzfeed.com
596,V161452,PRE FTF CASI/WEB: Mention: Website New York Times (nytimes.com)
597,V161453,PRE FTF CASI/WEB: Mention: Website Fox News (www.foxnews.com)
598,V161454,PRE FTF CASI/WEB: Mention: Website Mail Online / Daily Mail (dailymail.co.uk)
599,V161455,PRE FTF CASI/WEB: Mention: Website Washington Post (washingtonpost.com)
600,V161456,PRE FTF CASI/WEB: Mention: Website Business Insider (businessinsider.com)
601,V161457,PRE FTF CASI/WEB: Mention: Website BBC News (news.bbc.co.uk)
602,V161458,PRE FTF CASI/WEB: Mention: Website The Guardian (theguardian.com)
603,V161459,PRE FTF CASI/WEB: Mention: Website ABC News (abcnews.com)
604,V161460,PRE FTF CASI/WEB: Mention: Website Other
605,V161461x,PRE FTF CASI/WEB: Mention: Website None
606,V161462,PRE FTF CASI/WEB: SUMMARY- Number of additional preloaded newspapers
607,V161463,PRE FTF CASI/WEB: RESTRICTED- 5th newspaper
608,V161464,PRE FTF CASI/WEB: RESTRICTED- 6th newspaper
609,V161465,PRE FTF CASI/WEB: RESTRICTED- 7th newspaper
610,V161466,PRE FTF CASI/WEB: RESTRICTED- 8th newspaper
611,V161467,PRE FTF CASI/WEB: RESTRICTED- 9th newspaper
612,V161468,PRE FTF CASI/WEB: RESTRICTED- 10th newspaper
613,V161469,PRE FTF CASI/WEB: RESTRICTED- 11th newspaper
614,V161470,PRE FTF CASI/WEB: Mention: Printed newspaper The New York Times
615,V161471,PRE FTF CASI/WEB: Mention: Printed newspaper USA Today
616,V161472,PRE FTF CASI/WEB: Mention: Printed newspaper The Wall Street News
617,V161473,PRE FTF CASI/WEB: Mention: Printed newspaper The Washington Post
618,V161474,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[5]
619,V161475,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[6]
620,V161476,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[7]
621,V161477,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[8]
622,V161478,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[9]
623,V161479,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[10]
624,V161480,PRE FTF CASI/WEB: Mention: Printed newspaper pnews[11]
625,V161481,PRE FTF CASI/WEB: Mention: Other printed newspaper
626,V161482,PRE FTF CASI/WEB: Mention: No printed newspaper
627,V161483,PRE FTF CASI/WEB: Mention: www.nytimes.com (New York
628,V161484,PRE FTF CASI/WEB: Mention: www.usatoday.com (USA
629,V161485,PRE FTF CASI/WEB: Mention: online.wsj.com (Wall Street Journal)
630,V161486,PRE FTF CASI/WEB: Mention: www.washingtonpost.com (Washington Post)
631,V161487,PRE FTF CASI/WEB: Mention: Online newspaper inews[5]
632,V161488,PRE FTF CASI/WEB: Mention: Online newspaper inews[6]
633,V161489,PRE FTF CASI/WEB: Mention: Online newspaper inews[7]
634,V161490,PRE FTF CASI/WEB: Mention: Online newspaper inews[8]
635,V161491,PRE FTF CASI/WEB: Mention: Online newspaper inews[9]
636,V161492,PRE FTF CASI/WEB: Mention: Online newspaper inews[10]
637,V161493,PRE FTF CASI/WEB: Mention: Online newspaper inews[11]
638,V161494,PRE FTF CASI/WEB: Mention: Other online newspaper
639,V161495,PRE FTF CASI/WEB: Mention: No online newspaper
640,V161496,PRE FTF CASI/WEB: No. days in wk R uses soc media to learn Pres election
641,V161497,PRE FTF CASI / WEB: How many Guns owned
642,V161498,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set B
643,V161499,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set D
644,V161500,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set E
645,V161501,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set F
646,V161502,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set G
647,V161503,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set H
648,V161504,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set J
649,V161505,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set K
650,V161506,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set L
651,V161507,PRE FTF CASI / WEB: Correct or incorrect- WORDSUM set O
652,V161508,PRE FTF CASI / WEB: Innocent remarks as sexist
653,V161509,PRE FTF CASI / WEB: Women fail to appreciate what men do for them
654,V161510,PRE FTF CASI / WEB: Women seek to gain power by getting control over men
655,V161511,PRE FTF CASI / WEB: Women put men on a tight leash
656,V161512,PRE FTF CASI / WEB: Sexual orientation of R
657,V161513,PRE FTF CASI / WEB: Sexual orientation of family and friends
658,V161514,PRE FTF CASI / WEB: Years Senator Elected
659,V161515,PRE FTF CASI / WEB: Political knowledge: program Fed govt spends
660,V161516,PRE FTF CASI / WEB: Party with Most Members In House Before Election
661,V161517,PRE FTF CASI / WEB: Party with Most Members In Senate Before Election
662,V161518,PRE WEB ONLY: ease of online access
663,V161519,PRE FTF CASI ONLY: R rating of interviewer
664,V161520,PRE FTF CASI ONLY: R rating of interviewer degree
665,V161521,PRE FTF CASI ONLY: R rating of interview
666,V161522,PRE FTF CASI ONLY: R rating of interview degree
667,V161523,PRE: How satisfied is R with life
668,V162001,PRE WEB ONLY: RESTRICTED R comments
669,V162002,POST: FTF ONLY: Audio recording consent
670,V162003,POST: How many programs about 2016 campaign did R watch on TV
671,V162004,POST: How many speeches about 2016 campaign did R listen to on radio
672,V162005,POST: How many times R got info about 2016 campaign on the Internet
673,V162006,POST: How many stories R read about 2016 campaign in any newspaper
674,V162007,POST: Did R visit website of candidate
675,V162007a,POST: Did party contact R about 2016 campaign
676,V162008,POST: Which party contacted R about 2016 campaign
677,V162009,POST: Did anyone other than parties contact R about cands
678,V162010,POST: Anyone talk to R abt registering or getting out to vote
679,V162011,POST: R talk to anyone about voting for or against cand or pty
680,V162012,"POST: R go to any political meetings, rallies, speeches"
681,V162013,POST: R wear campaign button or post sign or bumper sticker
682,V162014,POST: R do any (other) work for party or candidate
683,V162014a,POST: R contribute money to specific candidate campaign
684,V162014b,POST: Party of candidate for whom R contributed money
685,V162016,POST: RESTRICTED- Other specify - party of candidate for whom R contributed
686,V162016a,POST: R contribute money to political party
687,V162016b,POST: Party to which R contributed
688,V162017,POST: RESTRICTED- Other specify - party to which R contributed
689,V162018a,POST: R contribute to any other group for/against a cand
690,V162018b,POST: DHS: Has R in past 12 months: joined a protest march
691,V162018c,POST: DHS: Has R in past 12 months: signed petition
692,V162018d,POST: DHS: Has R in past 12 months: given money to relig org
693,V162018e,POST: DHS: Has R in past 12 months: gave money to soc/pol org
694,V162019,POST: DHS: sent a message on Facebook/Twitter about polit iss
695,V162020a,POST: Contact U.S. Representative or Senator
696,V162020c,POST: Who did R contact: was it U.S. Senator from R's state
697,V162020b,POST: Who did R contact: was it R's district U.S. Representative
698,V162020d,POST: Who did R contact: was it U.S. Senator from another state
699,V162021a,POST: Who did R contact: was it other U.S. Representative
700,V162021b,POST: Vote section- order of major party candidate names / FTF Ballot Color
701,V162021c,POST: Vote section- household address preloaded (sample address)
702,V162022,POST: Vote section- candidate names preloaded for sample address
703,V162022a,POST: R registered to vote (Post-election)
704,V162023,POST WEB: Is R registered (registration address not answered)
705,V162024a,POST: Address of registration given (not registered at sample address)
706,V162024b,POST: State included in address of registration (not registered at samp addr)
707,V162025,POST: City included in Post address of registration (not registered at samp addr)
708,V162026a,POST: State of registration - reg state not given (not registered at samp addr)
709,V162026b,POST: State of regist for Post vote section (Pre nonvoter; reg state given Pre or Post)
710,V162026c,POST: State of regist for Post vote section same as sample address state
711,V162026d,POST: Senate race in state of registration (all registrations)
712,V162026e,POST: Governor race in state of registration (all registrations)
713,V162027,POST: Party registration in state of registration (all registrations)
714,V162028,POST: Is R registered to vote in preload county (not reg at sample address)
715,V162028x,POST: How many years has R been registered at registration location
716,V162029,PRE-POST: SUMMARY- years has R been registered at registration location
717,V162029x,POST: Was name recorded for registration name
718,V162030,PRE-POST: SUMMARY - Name recorded for registration name
719,V162030x,POST: Party of registration
720,V162031,PRE-POST: SUMMARY - Party of registration
721,V162031x,POST: Did R vote in the November 2016 elections
722,V162032x,PRE-POST: SUMMARY -Did R vote in 2016
723,V162033,POST: SUMMARY - Post vote status for registered respondents
724,V162033a,POST: FTF ONLY: IWR CHECKPOINT: have correct Post ballot card
725,V162033x,POST: FTF ONLY: IWR error at Ballot Card checkpoint
726,V162034,POST: SUMMARY - administration of Post vote module
727,V162034a,POST: Did R vote for President
728,V162035,POST: For whom did R vote for President
729,V162036,POST: Preference strong for Pres cand for whom R voted
730,V162036a,POST: Text- How long before election R made decision Pres vote
731,V162037,POST: Code- How long before election R made decision Pres vote
732,V162037a,POST: Does R prefer Pres cand (did not vote)
733,V162038,POST: Preference for Pres cand (did not vote)
734,V162038x,POST: Preference strong for Pres cand (did not vote)
735,V162039,POST: SUMMARY- Preference for Pres cand (did not vote)
736,V162040,POST: Did R vote for U.S. House of Representatives
737,V162041,POST: For whom did R vote for U.S. House (ballot card)
738,V162042,POST: For whom did R vote for U.S. House (no ballot card)
739,V162043,POST: Does R prefer U.S. House candidate
740,V162044,POST: Whom does R prefer for U.S. House (ballot card)
741,V162045x,POST: Whom does R prefer for U.S. House (no ballot card)
742,V162046,POST SUMMARY: Senate and Governor races
743,V162047,POST: Did R vote for U.S. Senate
744,V162048,POST: R's vote for U.S. Senate (ballot card)
745,V162049,POST: R's vote for U.S. Senate (no ballot card)
746,V162050,POST: Does R prefer U.S. Senate candidate
747,V162051,POST: Whom does R prefer for U.S. Senate (ballot card)
748,V162052,POST: Whom does R prefer for U.S. Senate (no ballot card)
749,V162053,POST: Did R vote for governor
750,V162054,POST: R's vote for governor(ballot card)
751,V162055,POST: R's vote for governor (no ballot card)
752,V162056,POST: Does R prefer gubernatorial candidate
753,V162057,POST: Whom does R prefer for governor (ballot card)
754,V162058x,POST: Whom does R prefer for governor (no ballot card)
755,V162059x,POST: SUMMARY -Post-election Presidential vote/pref
756,V162060x,POST: SUMMARY - party of Post-election U.S. House vote/preference
757,V162061x,POST: SUMMARY - party of Post-election U.S. Senate vote/preference
758,V162062x,POST: SUMMARY - party of Post-election gubernatorial vote/pref
759,V162063x,2016 PRE-POST VOTE SUMMARY: 2016 Presidential vote
760,V162064x,2016 PRE-POST VOTE SUMMARY: 2016 Pre intent vote for Pres - Post vote for Pres
761,V162065x,2016 PRE-POST NONVOTER SUMMARY: 2016 Pre pref for Pres - Post pref for Pres
762,V162066x,2016 PRE-POST REG/TURNOUT SUMMARY: 2016 registration - turnout status
763,V162067x,2016 PRE-POST VOTE SUMMARY: 2016 Presidential vote w/strength
764,V162068x,2016 PRE-POST VOTE SUMMARY: party of 2016 U.S. House vote
765,V162069x,2016 PRE-POST VOTE SUMMARY: party of 2016 U.S. Senate vote
766,V162070a,2016 PRE-POST VOTE SUMMARY: party of 2016 Governor vote
767,V162070b,POST: Reason R not registered to vote - didn't meet registration deadline
768,V162070c,POST: Reason R not registered to vote - didn't know where/how to register
769,V162070d,POST: Reason R not registered to vote - didn't have required ID
770,V162070e,POST: Reason R not registered to vote - didn't meet residency requirements
771,V162070f,POST: Reason R not registered to vote - permanent illness/disability
772,V162070g,POST: Reason R not registered to vote - difficulty w/English
773,V162070h,POST: Reason R not registered to vote - not interested in election/politics
774,V162070i,POST: Reason R not registered to vote - thought vote wouldn't make a difference
775,V162070j,POST: Reason R not registered to vote - not eligible to vote
776,V162071,POST: Reason R not registered to vote - other reasons
777,V162072,POST: Other reason why R not registered
778,V162073a,POST: Office recall: Vice-President Biden
779,V162073b,POST: Office recall: Speaker of the House Ryan
780,V162074a,POST: Office recall: Speaker of the House Ryan [Scheme 2]
781,V162074b,POST: Office recall: Chancellor of Germany Merkel
782,V162075a,POST: Office recall: Chancellor of Germany Merkel [Scheme 2]
783,V162075b,POST: Office recall: President of Russia Putin
784,V162076a,POST: Office recall: President of Russia Putin [Scheme 2]
785,V162076b,POST: Office recall: US Supreme Ct Chief Justice Roberts
786,V162078,POST: Office recall: US Supreme Ct Chief Justice Roberts [Scheme 2]
787,V162079,POST: Feeling thermometer: Democratic Presidential candidate
788,V162080,POST: Feeling thermometer: Republican Presidential candidate
789,V162081,POST: Feeling thermometer: Libertarian Presidential candidate
790,V162082,POST: Feeling thermometer: Green Party Presidential candidate
791,V162083,POST: Feeling thermometer: HOUSE DEMOCRATIC CANDIDATE
792,V162084,POST: Feeling thermometer: HOUSE REPUBLICAN CANDIDATE
793,V162085,POST: Feeling thermometer: HOUSE IND/3rd-PARTY CANDIDATE
794,V162086,POST: Feeling thermometer: SENATE DEMOCRATIC CANDIDATE
795,V162087,POST: Feeling thermometer: SENATE REPUBLICAN CANDIDATE
796,V162088,POST: Feeling thermometer: SENATE IND/3rd-PARTY CANDIDATE
797,V162089,POST: Feeling thermometer: SR. SENATOR IN STATE WITHOUT RACE
798,V162090,POST: Feeling thermometer: JR. SENATOR IN STATE WITHOUT RACE
799,V162091,POST: Feeling thermometer: NONRUNNING SENATOR IN STATE W/RACE
800,V162092,POST: Feeling thermometer: Democratic Vice Presidential cand
801,V162093,POST: Feeling thermometer: Republican Vice Presidential cand
802,V162094,POST: Feeling thermometer: John Roberts
803,V162095,POST: Feeling thermometer: Pope Francis
804,V162096,POST: Feeling thermometer: CHRISTIAN FUNDAMENTALISTS
805,V162097,POST: Feeling thermometer: FEMINISTS
806,V162098,POST: Feeling thermometer: LIBERALS
807,V162099,POST: Feeling thermometer: LABOR UNIONS
808,V162100,POST: Feeling thermometer: POOR PEOPLE
809,V162101,POST: Feeling thermometer: BIG BUSINESS
810,V162102,POST: Feeling thermometer: CONSERVATIVES
811,V162103,POST: Feeling thermometer: THE U.S. SUPREME COURT
812,V162104,POST: Feeling thermometer: GAY MEN AND LESBIANS
813,V162105,POST: Feeling thermometer: CONGRESS
814,V162106,POST: Feeling thermometer: RICH PEOPLE
815,V162107,POST: Feeling thermometer: MUSLIMS
816,V162108,POST: Feeling thermometer: CHRISTIANS
817,V162109,POST: Feeling thermometer: JEWS
818,V162110,POST: Feeling thermometer: TEA PARTY
819,V162111,POST: Feeling thermometer: POLICE
820,V162112,POST: Feeling thermometer: TRANSGENDER PEOPLE
821,V162113,POST: Feeling thermometer: SCIENTISTS
822,V162114,POST: Feeling thermometer: BLACK LIVES MATTER
823,V162114a,POST: Approve or disapprove of House incumbent
824,V162114b,POST: How much approve House incumbent
825,V162114x,POST: How much disapprove House incumbent
826,V162115,POST: SUMMARY- House incumbent approval
827,V162116a,POST: How good a job does House incumbent do in district
828,V162116a_1,POST: Mention 1 most important problems facing the country
829,V162116a_2,"POST: Most Important Problem - Mention 1, Idea 1"
830,V162116a_3,"POST: Most Important Problem - Mention 1, Idea 2"
831,V162116a_4,"POST: Most Important Problem - Mention 1, Idea 3"
832,V162116a_5,"POST: Most Important Problem - Mention 1, Idea 4"
833,V162116a_6,"POST: Most Important Problem - Mention 1, Idea 5"
834,V162116a_7,"POST: Most Important Problem - Mention 1, Idea 6"
835,V162116a_8,"POST: Most Important Problem - Mention 1, Idea 7"
836,V162116a_9,"POST: Most Important Problem - Mention 1, Idea 8"
837,V162116a_10,"POST: Most Important Problem - Mention 1, Idea 9"
838,V162117,"POST: Most Important Problem - Mention 1, Idea 10"
839,V162118a,POST: Party to deal with mention 1 MIP
840,V162118a_1,POST: Mention 2 most important problems facing the country
841,V162118a_2,"POST: Most Important Problem - Mention 2, Idea 1"
842,V162118a_3,"POST: Most Important Problem - Mention 2, Idea 2"
843,V162118a_4,"POST: Most Important Problem - Mention 2, Idea 3"
844,V162118a_5,"POST: Most Important Problem - Mention 2, Idea 4"
845,V162118a_6,"POST: Most Important Problem - Mention 2, Idea 5"
846,V162118a_7,"POST: Most Important Problem - Mention 2, Idea 6"
847,V162118a_8,"POST: Most Important Problem - Mention 2, Idea 7"
848,V162118a_9,"POST: Most Important Problem - Mention 2, Idea 8"
849,V162119,"POST: Most Important Problem - Mention 2, Idea 9"
850,V162120a,POST: Party to deal with mention 2 MIP
851,V162120a_1,POST: Mention 3 most important problems facing the country
852,V162120a_2,"POST: Most Important Problem - Mention 3, Idea 1"
853,V162120a_3,"POST: Most Important Problem - Mention 3, Idea 2"
854,V162120a_4,"POST: Most Important Problem - Mention 3, Idea 3"
855,V162120a_5,"POST: Most Important Problem - Mention 3, Idea 4"
856,V162120a_6,"POST: Most Important Problem - Mention 3, Idea 5"
857,V162121,"POST: Most Important Problem - Mention 3, Idea 6"
858,V162122a,POST: Party to deal with mention 3 MIP
859,V162122a_1,POST: Which among mentions is the most important problem
860,V162122a_2,POST: Most Important Problem - Idea 1
861,V162122a_3,POST: Most Important Problem - Idea 2
862,V162122a_4,POST: Most Important Problem - Idea 3
863,V162122a_5,POST: Most Important Problem - Idea 4
864,V162123,POST: Most Important Problem - Idea 5
865,V162124,POST: Better if rest of world more like America
866,V162125,POST: How does R feel to see American flag
867,V162125x,POST: How good/bad does R feel to see American flag
868,V162126,POST: SUMMARY- How good/bad does R feel to see American flag
869,V162127,POST: Heard about Rep Presidential cand Trump 2005 video about women
870,V162128,POST: Does Rep Presidential cand Trump 2005 video about women matter
871,V162129,POST: Think of self as belonging to class
872,V162130,POST: Is R working or middle class
873,V162131,POST: If R had to choose working/ middle class
874,V162132,POST: Average or upper working/ middle class
875,V162133,POST: R social class
876,V162134,"POST: Is R upper middle, middle, lower middle class"
877,V162135,POST: How much opportunity in America to get ahead
878,V162136,POST: Economic mobility compared to 20 yrs ago
879,V162136x,POST: How much easier/harder is econ mobility compared to 20 yrs ago
880,V162137,POST: SUMMARY- Economic mobility easier/harder compared to 20 yrs ago
881,V162138,POST: What is current unemployment rate
882,V162139,POST: What is minimum wage in R state
883,V162140,POST: Importance of reducing deficit
884,V162141,POST: Does R favor or oppose tax on millionaires
885,V162142,POST: How often bought or boycotted product or service for pol/soc reason
886,V162143,POST: Health Care Law effect on health care services
887,V162144,POST: Health Care Law effect on number insured
888,V162145,POST: Health Care Law effect on cost of health care
889,V162146,POST: Health Care Law effect on cost of R's health care
890,V162147,POST: Does R favor or oppose vaccines in schools
891,V162147x,POST: How much favor or oppose vaccines in schools
892,V162148,POST: SUMMARY- Favor/oppose vaccines in schools
893,V162149,POST: Does R favor or oppose govt reducing income ineqality
894,V162150,POST: Does R favor or oppose requiring equal pay for men and women
895,V162150x,POST: How much favor or oppose requiring equal pay for men and women
896,V162151,POST: SUMMARY- Favor/oppose equal pay for men and women
897,V162152a,POST: Changes in security at public places
898,V162152b,POST: Does R favor or oppose limits on foreign imports [REV]
899,V162153,POST: Does R favor or oppose limits on foreign imports [STD]
900,V162154a,POST: Is U.S. too supportive of Israel or not supportive enough
901,V162154b,POST: How much U.S. support Israel in conflict w/Palestinians [ISR 1st]
902,V162155a,POST: How much U.S. support Palestinians in conflict w/Israel [ISR 1st]
903,V162155b,POST: How much U.S. support Palestinians in conflict w/Israel [PAL 1st]
904,V162155x,POST: How much U.S. support Israel in conflict w/Palestinians [PAL 1st]
905,V162156x,POST: SUMMARY- How much should U.S. support Israelis
906,V162157,POST: SUMMARY- How much should U.S. support Palestinians
907,V162158,POST: What should immigration levels be
908,V162159,POST: How likely immigration will take away jobs
909,V162160,POST: China military threat
910,V162161,POST: How worried about terrorist attack next 12 months
911,V162162,POST: Health benefits of vaccinations outweigh risks
912,V162162x,POST: Vaccinations benefit/risk strength
913,V162163,POST: SUMMARY- Benefits/risks of vaccinations
914,V162164,POST: Put off checkup and vaccines
915,V162165,POST: Will you pay all costs
916,V162166,POST: Worry about financial situation
917,V162167,POST: Able to make housing payments
918,V162168,POST: Anyone lost jobs
919,V162169,POST: Country needs free thinkers
920,V162170,POST: Country would be great by getting rid of rotten apples
921,V162171,POST: Country needs strong leader to take us back to true path
922,V162171a,POST: 7pt scale liberal-Conservate: self placement
923,V162172,"POST: If had to choose, liberal or conservative"
924,V162173,POST: 7pt scale liberal-conservative: Democratic House cand
925,V162174,POST: 7pt scale liberal-conservative: Republican House cand
926,V162174a,POST: Ever discuss politics with family or friends
927,V162175,POST: Days in past week discussed politics
928,V162176,POST: Is increasing trade w/other countries good for U.S.
929,V162176a,POST: Does R favor or oppose free trade agreements w/other countries
930,V162176x,POST: How strongly favor/oppose free trade agreements w/other countries
931,V162177,POST: SUMMARY- Favor/oppose free trade agreements
932,V162178,POST: Should govt encourage/discourage outsourcing
933,V162179,POST: Has increase in govt wiretap powers gone too far
934,V162180,POST: Should marijuana be legal
935,V162180a,POST: Should gov do more or less to regulate banks
936,V162180x,POST: How much more or less should gov do to regulate banks
937,V162181,POST: SUMMARY- Gov should do more/less to regulate banks
938,V162182,POST: STD Abortion: Democratic Presidential cand placemt
939,V162183,POST: STD Abortion: Republican Presidential cand placemt
940,V162184,POST: Govt bigger because too involved OR bigger problems
941,V162185,POST: Need strong govt for complex problems OR free market
942,V162186,POST: Less govt better OR more that govt should be doing
943,V162188,POST: Regulation of Business
944,V162188a,POST: How does Rep Presidential candidate treat women
945,V162188x,POST: How well/poorly does Rep Presidential candidate treat women
946,V162189,POST: SUMMARY- How does Rep Presidential candidate treat women
947,V162189a,POST: How does Dem Presidential candidate treat women
948,V162189x,POST: How well/poorly does Dem Presidential candidate treat women
949,V162190,POST: SUMMARY- How does Dem Presidential candidate treat women
950,V162191,POST: Important differences in what major parties stand for
951,V162191a,POST: Is one of the parties more conservative than the other
