var_name,summary,question,valid_labels,missing_labels
V082029a,PreAdmin.29a. DWELLING UNIT: area boarded hses: Pre-election,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Boarded houses or abandoned building","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082029b,PreAdmin.29b. DWELLING UNIT: area graffiti: Pre-election,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Graffiti","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082029c,PreAdmin.29c. DWELLING UNIT: area aband cars: Pre-election,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Abandoned cars","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082029d,PreAdmin.29d. DWELLING UNIT: area demolish hses: Pre-electn,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Demolished houses","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082029e,PreAdmin.29e. DWELLING UNIT: trash in road: Pre-election,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Trash/Litter/junk in street/road","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082029f,PreAdmin.29f. DWELLING UNIT: trash by bldgs: Pre-election,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Trash/litter/junk around buildings in neighborhood","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082029g,PreAdmin.29g. DWELLING UNIT: factories near: Pre-election,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Factories or warehouses","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082029h,PreAdmin.29h. DWELLING UNIT: stores near: Pre-election,"PRE-ELECTION INTERVIEWER (DWELLING UNIT):
Which of the following are present within sight of the housing unit?
Select all that apply.
  - Stores or other retail outlets","0. Not marked
1. Marked",-4. Missing (missing PreAdmin.29a-PreAdmin.29h)
V082030,PreAdmin.30. DWELLING UNIT: relative condition: Pre-electn,"INTERVIEWER (DWELLING UNIT):
Describe the physical condition of the sample building relative to
the other buildings on the same street/road:
  Better
  Same
  Worse
  No other buldings
  Unknown-outside gated community","1. Better
2. Same
3. Worse
4. No other buldings
5. Unknown-outside gated community",-4. Missing
V082251,PreIWR.1. Interviewer ID: Pre-election IW,Interviewer ID: Pre-election IW,,-4. NA (missing)
V082252,PreIWR.2. Interviewer gender: Pre-election IW,Interviewer gender: Pre-election IW,"1. Male interviewer
2. Female interviewer",-4. Missing
V082253,PreIWR.3. Interviewer education: Pre-election IW,Interviewer education: Pre-election IW,"1. High school level
2. College level",-4. Missing
V082254,PreIWR.4. Interviewer race: Pre-election IW,Interviewer race: Pre-election IW,"1. White interviewer
2. Black interviewer
3. Other",-4. Missing
V082255,PreIWR.5. Interviewer ethnicity: Pre-election IW,Interviewer ethnicity: Pre-election IW,"0. Not a Hispanic interviewer
1. Hispanic interviewer",-4. Missing
V082256,PreIWR.6. Interviewer languages: Pre-election IW,Interviewer languages: Pre-election IW,"0. No language other than English
1. Spanish language",-4. Missing
V082257,PreIWR.7. Interviewer years experience: Pre-election IW,Interviewer years experience: Pre-election IW,,-4. Missing
V082258,PreIWR.8. Interviewer age group: Pre-election IW,Interviewer age group: Pre-election IW,"1. Age group
2. Age group
3. Age group
4. Age group",-4. Missing
V082401,PreRandom.1. Forward or reverse coding,"Forward or reverse order of response options for selected
Pre-election questions","1. Forward order response options for selected questions
2. Reverse order response options for selected questions",
V082402,PreRandom.2.  OLD or NEW selection of questions,"Split administration: ""OLD"" or ""NEW"" version","1. OLD version of selected questions
2. NEW version of selected questions",
V082403,PreRandom.3. VERSION A or B campaign interest,Split administration: A or B (campaign interest),"1. VERSION A (campaign interest) - A1a
2. VERSION B (campaign interest) - A1b",
V082404,PreRandom.4. Order of Presidential candidate likes-dislikes,"Order of Presidential candidates in administration of candidate
likes-dislikes questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082405,PreRandom.5. Order Presidential candidate thermometers,Order of Presidential candidates in administration of thermometers,"1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082406a,PreRandom.6a.  Order Dem Vice Presidential  thermometer,Order for thermometer: Democratic Vice Presidential candidate (B1c1),"1. Democratic Vice Pres cand is
2. Democratic Vice Pres cand is
3. Democratic Vice Pres cand is
4. Democratic Vice Pres cand is
5. Democratic Vice Pres cand is
6. Democratic Vice Pres cand is",
V082406b,PreRandom.6b.  Order Rep Vice Presidential  thermometer,Order for thermometer: Republican Vice Presidential candidate (B1c2),"1. Republican Vice Pres cand is
2. Republican Vice Pres cand is
3. Republican Vice Pres cand is
4. Republican Vice Pres cand is
5. Republican Vice Pres cand is
6. Republican Vice Pres cand is",
V082406c,PreRandom.6c.  Order Hillary Clinton thermometer,Order for thermometer: Hillary Clinton (B1d),"1. Hillary Clinton is
2. Hillary Clinton is
3. Hillary Clinton is
4. Hillary Clinton is
5. Hillary Clinton is
6. Hillary Clinton is",
V082406d,PreRandom.6d.  Order Bill Clinton thermometer,Order for thermometer: Bill Clinton (B1e),"1. Bill Clinton is
2. Bill Clinton is
3. Bill Clinton is
4. Bill Clinton is
5. Bill Clinton is
6. Bill Clinton is",
V082406e,PreRandom.6e.  Order Condoleezza thermometer,Order for thermometer: Condoleezza Rice (B1f),"1. Condoleezza Rice is
2. Condoleezza Rice is
3. Condoleezza Rice is
4. Condoleezza Rice is
5. Condoleezza Rice is
6. Condoleezza Rice is",
V082406f,PreRandom.6f.  Order Rush Limbaugh thermometer,Order for thermometer: Rush Limbaugh (B1g),"1. Rush Limbaugh is
2. Rush Limbaugh is
3. Rush Limbaugh is
4. Rush Limbaugh is
5. Rush Limbaugh is
6. Rush Limbaugh is",
V082407,PreRandom.7.  Order Party thermometers,Order of Democratic Party / Republican Party thermometers (B1h/B1j),"1. Democratic Party is
2. Republican Party is",
V082408,PreRandom.6a.  Order Party Likes-Dislikes,"Order of Democratic Party / Republican Party in administration of
party likes-dislikes questions","1. Democratic party is
2. Republican party is",
V082409,PreRandom.10.  Order Pres cands in affects,"Order of Presidential candidates in administration of affects
questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082410a,PreRandom.10a. Order of Pres cand/President affect ANGRY,"Order of ANGRY in administration of affects for Presidential candidates
and President","1. ANGRY is
2. ANGRY is
3. ANGRY is
4. ANGRY is",
V082410b,PreRandom.10b. Order of Pres cand/President affect HOPEFUL,"Order of HOPEFUL in administration of affects for Presidential candidates
and President","1. HOPEFUL is
2. HOPEFUL is
3. HOPEFUL is
4. HOPEFUL is",
V082410c,PreRandom.10c. Order of Pres cand/President affect AFRAID,"Order of AFRAID in administration of affects for Presidential candidates
and President","1. AFRAID is
2. AFRAID is
3. AFRAID is
4. AFRAID is",
V082410d,PreRandom.10d. Order of Pres cand/President affect PROUD,"Order of PROUD in administration of affects for Presidential candidates
and President","1. PROUD is
2. PROUD is
3. PROUD is
4. PROUD is",
V082411,PreRandom.11. Order of Dem-Rep Pres cand libcon placements,"Order of Presidential candidates in administration of liberal-
conservative scale placements","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082412,PreRandom.12. Order of Dem-Rep party libcon placements,"Order of Democratic Party / Republican Party in administration of
liberal-conservative scale placements","1. Democratic party is
2. Republican party is",
V082413,PreRandom.13. VERSION C or D efficacy items,Split administration: C or D (efficacy),"1. VERSION C (efficacy) - E9a-E9d
2. VERSION D (efficacy) - E10a-E10d",
V082414,PreRandom.14. VERSION E or F economy items,Split administration: E or F (economy),"1. VERSION E (economy) - F2a-F2a1
2. VERSION F (economy) - F2b-F2b2a",
V082415,PreRandom.15. Order Dem-Rep Pres cands- Version F econ items,"Order of Presidential candidates in administration of version F
economy questions","1. Democratic Presidential cand is
2. Republican Presidential cand is","-1. INAP, R selected for VERSION E"
V082416,PreRandom.16. Order of unempl/inflation economy items,Order of unemployment and inflation in economy questions (F3-F6),"1. Unemployment is
2. Inflation is",
V082417,PreRandom.17. VERSION G or H social trust items,Split administration: G or H (social trust),"1. VERSION G (social trust) - F8a
2. VERSION H (social trust) - F8b",
V082418,PreRandom.18. Order of parties in text of party performance,"Order of Democratic party / Republican party in question text of
party performance questions (G1 and G2a/G2b)","1. Democratic party is
2. Republican party is",
V082419,PreRandom.19. VERSION P or Q party war performance question,Split administration: P or Q (party performance on war),"1. VERSION P (party performance on war) - G2a
2. VERSION Q (party performance on war) - G2b",
V082420,PreRandom.20. Order of parties in text of party id question,"Order of Democratic party / Republican party in question text of
party identification question","1. Democratic party is
2. Republican party is",
V082421,PreRandom.21. VERSION J or K traits questions,Split administration: J or K (traits),"1. VERSION J (traits for Presidential cands and President ) -
2. VERSION K (traits for Presidential cands and President ) -",
V082422,PreRandom.22.  Order of Dem and Rep Pres cands for traits,Order of Presidential candidates in administration of traits questions,"1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082423a,PreRandom.23a. Order of Pres cand/President trait MORAL,"Order of trait MORAL in administration of traits for Presidential
candidates and President","1. MORAL is
2. MORAL is
3. MORAL is
4. MORAL is
5. MORAL is
6. MORAL is
7. MORAL is",
V082423b,PreRandom.23b. Order of Pres cand/Pres trait STRONG LEADER,"Order of trait PROVIDES STRONG LEADERSHIP in administration of traits
for Presidential candidates and President","1. STRONG LEADERSHIP is
2. STRONG LEADERSHIP is
3. STRONG LEADERSHIP is
4. STRONG LEADERSHIP is
5. STRONG LEADERSHIP is
6. STRONG LEADERSHIP is
7. STRONG LEADERSHIP is",
V082423c,PreRandom.23c. Order of Pres cand/Pres trait REALLY CARES,"Order of trait REALLY CARES ABOUT PEOPLE LIKE YOU in administration of
traits for Presidential candidates and President","1. REALLY CARES is
2. REALLY CARES is
3. REALLY CARES is
4. REALLY CARES is
5. REALLY CARES is
6. REALLY CARES is
7. REALLY CARES is",
V082423d,PreRandom.23d. Order of Pres cand/Pres trait KNOWLEDGEABLE,"Order of trait KNOWLEDGEABLE in administration of traits for
Presidential candidates and President","1. KNOWLEDGEABLE is
2. KNOWLEDGEABLE is
3. KNOWLEDGEABLE is
4. KNOWLEDGEABLE is
5. KNOWLEDGEABLE is
6. KNOWLEDGEABLE is
7. KNOWLEDGEABLE is",
V082423e,PreRandom.23e. Order of Pres cand/Pres trait INTELLIGENT,"Order of trait INTELLIGENT in administration of traits for
Presidential candidates and President","1. INTELLIGENT is
2. INTELLIGENT is
3. INTELLIGENT is
4. INTELLIGENT is
5. INTELLIGENT is
6. INTELLIGENT is
7. INTELLIGENT is",
V082423f,PreRandom.23f. Order of Pres cand/President trait HONEST,"Order of trait HONEST in administration of traits for Presidential
candidates and President","1. HONEST is
2. HONEST is
3. HONEST is
4. HONEST is
5. HONEST is
6. HONEST is
7. HONEST is",
V082423g,PreRandom.23g. Order of Pres cand/Pres trait OPTIMISTIC,"Order of trait OPTIMISTIC in administration of traits for Presidential
candidates and President","1. OPTIMISTIC is
2. OPTIMISTIC is
3. OPTIMISTIC is
4. OPTIMISTIC is
5. OPTIMISTIC is
6. OPTIMISTIC is
7. OPTIMISTIC is",
V082424,PreRandom.24. Order of Pres cands for OLD/NEW govt services,"Order of Presidential candidates in administration of OLD/NEW
government services questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082425,PreRandom.25. Order of Pres cands for OLD/NEW defense spendg,"Order of Presidential candidates in administration of OLD/NEW
defense spending questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082426,PreRandom.26. Order of Pres cands for OLD/NEW health insurnc,"Order of Presidential candidates in administration of OLD/NEW
government health insurance questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082427,PreRandom.27. Order of Pres cands for OLD/NEW job security,"Order of Presidential candidates in administration of OLD/NEW
job security questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082428,PreRandom.28. Order of Pres cands for (OLD) aid to blacks,"Order of Presidential candidates in administration of (OLD only)
aid to blacks questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082429a,PreRandom.29a. Order of SOCIAL SECURITY federal spend item,Order of SOCIAL SECURITY in administration of federal spending items,"01. SOCIAL SECURITY is
02. SOCIAL SECURITY is
03. SOCIAL SECURITY is
04. SOCIAL SECURITY is
05. SOCIAL SECURITY is
06. SOCIAL SECURITY is
07. SOCIAL SECURITY is
08. SOCIAL SECURITY is
09. SOCIAL SECURITY is
10. SOCIAL SECURITY is
11. SOCIAL SECURITY is",
V082429b,PreRandom.29b. Order of PUBLIC SCHOOLS federal spending item,Order of PUBLIC SCHOOLS in administration of federal spending items,"01. PUBLIC SCHOOLS is
02. PUBLIC SCHOOLS is
03. PUBLIC SCHOOLS is
04. PUBLIC SCHOOLS is
05. PUBLIC SCHOOLS is
06. PUBLIC SCHOOLS is
07. PUBLIC SCHOOLS is
08. PUBLIC SCHOOLS is
09. PUBLIC SCHOOLS is
10. PUBLIC SCHOOLS is
11. PUBLIC SCHOOLS is",
V082429c,PreRandom.29c. Order of SCIENCE-TECHNGY federal spend item,"Order of SCIENCE AND TECHNOLOGY in administration of federal
spending items","01. SCIENCE AND TECHNOLOGY is
02. SCIENCE AND TECHNOLOGY is
03. SCIENCE AND TECHNOLOGY is
04. SCIENCE AND TECHNOLOGY is
05. SCIENCE AND TECHNOLOGY is
06. SCIENCE AND TECHNOLOGY is
07. SCIENCE AND TECHNOLOGY is
08. SCIENCE AND TECHNOLOGY is
09. SCIENCE AND TECHNOLOGY is
10. SCIENCE AND TECHNOLOGY is
11. SCIENCE AND TECHNOLOGY is",
V082429d,PreRandom.29d. Order of CRIME federal spending item,Order of CRIME in administration of federal spending items,"01. CRIME is
02. CRIME is
03. CRIME is
04. CRIME is
05. CRIME is
06. CRIME is
07. CRIME is
08. CRIME is
09. CRIME is
10. CRIME is
11. CRIME is",
V082429e,PreRandom.29e.  Order of WELFARE federal spending item,Order of WELFARE in administration of federal spending items,"01. WELFARE is
02. WELFARE is
03. WELFARE is
04. WELFARE is
05. WELFARE is
06. WELFARE is
07. WELFARE is
08. WELFARE is
09. WELFARE is
10. WELFARE is
11. WELFARE is",
V082429f,PreRandom.29f.  Order of CHILD CARE federal spending item,Order of CHILD CARE in administration of federal spending items,"01. CHILD CARE is
02. CHILD CARE is
03. CHILD CARE is
04. CHILD CARE is
05. CHILD CARE is
06. CHILD CARE is
07. CHILD CARE is
08. CHILD CARE is
09. CHILD CARE is
10. CHILD CARE is
11. CHILD CARE is",
V082429g,PreRandom.29g.  Order of FOREIGN AID federal spending item,Order of FOREIGN AID in administration of federal spending items,"01. FOREIGN AID is
02. FOREIGN AID is
03. FOREIGN AID is
04. FOREIGN AID is
05. FOREIGN AID is
06. FOREIGN AID is
07. FOREIGN AID is
08. FOREIGN AID is
09. FOREIGN AID is
10. FOREIGN AID is
11. FOREIGN AID is",
V082429h,PreRandom.29h.  Order of AID TO POOR federal spending item,Order of AID TO THE POOR in administration of federal spending items,"01. AID TO THE POOR is
02. AID TO THE POOR is
03. AID TO THE POOR is
04. AID TO THE POOR is
05. AID TO THE POOR is
06. AID TO THE POOR is
07. AID TO THE POOR is
08. AID TO THE POOR is
09. AID TO THE POOR is
10. AID TO THE POOR is
11. AID TO THE POOR is",
V082429j,PreRandom.29j.  Order of BORDER SECURITY  federal spend item,"Order of TIGHTENING THE BORDER AGAINST ILLEGAL ALIENS in
administration of federal spending items","01. TIGHTENING THE BORDER is
02. TIGHTENING THE BORDER is
03. TIGHTENING THE BORDER is
04. TIGHTENING THE BORDER is
05. TIGHTENING THE BORDER is
06. TIGHTENING THE BORDER is
07. TIGHTENING THE BORDER is
08. TIGHTENING THE BORDER is
09. TIGHTENING THE BORDER is
10. TIGHTENING THE BORDER is
11. TIGHTENING THE BORDER is",
V082429k,PreRandom.29k.  Order of WAR ON TERRORISM federal spend item,Order of WAR ON TERRORISM in administration of federal spending items,"01. WAR ON TERRORISM is
02. WAR ON TERRORISM is
03. WAR ON TERRORISM is
04. WAR ON TERRORISM is
05. WAR ON TERRORISM is
06. WAR ON TERRORISM is
07. WAR ON TERRORISM is
08. WAR ON TERRORISM is
09. WAR ON TERRORISM is
10. WAR ON TERRORISM is
11. WAR ON TERRORISM is",
V082429m,PreRandom.29m.  Order of ENVIRONMENT federal spend item,"Order of PROTECTING THE ENVIRONMENT in administration of federal
spending items","01. PROTECT THE ENVIRONMENT is
02. PROTECT THE ENVIRONMENT is
03. PROTECT THE ENVIRONMENT is
04. PROTECT THE ENVIRONMENT is
05. PROTECT THE ENVIRONMENT is
06. PROTECT THE ENVIRONMENT is
07. PROTECT THE ENVIRONMENT is
08. PROTECT THE ENVIRONMENT is
09. PROTECT THE ENVIRONMENT is
10. PROTECT THE ENVIRONMENT is
11. PROTECT THE ENVIRONMENT is",
V082430,PreRandom.30. Order of Pres cands for OLD/NEW envir protectn,"Order of Presidential candidates in administration of OLD/NEW
environmental protection questions","1. Democratic Presidential cand is
2. Republican Presidential cand is",
V082431,PreRandom.31. Order of Dem-Rep Pres womens role placements,"Order of Democratic Presidential candidate / Republican Presidential
candidate in administration of women's role questions","1. Democratic Presidential cand is
2. Republican Presidential cand is","-1. INAP, R selected for VERSION NEW (no women's role question)"
V082432,PreRandom.32.  VERSION R or S election of black President,Split administration: R or S (election of a black President),"1. VERSION R (election of a black President) - Q1a1-Q2a2
2. VERSION S (election of a black President) - Q2b1-Q2b2",
V082433a,PreRandom.33a. Order stereotype racial group BLACKS,Order BLACKS in administration of stereotypes questions,"1. BLACKS is
2. BLACKS is
3. BLACKS is",
V082433b,PreRandom.33b. Order stereotype racial group HISPANICS,Order HISPANIC-AMERICANS in administration of stereotypes questions,"1. HISPANIC-AMERICANS is
2. HISPANIC-AMERICANS is
3. HISPANIC-AMERICANS is",
V082433c,PreRandom.33c. Order stereotype racial group ASIANS,Order ASIAN-AMERICANS in administration of stereotypes questions,"1. ASIAN-AMERICANS is
2. ASIAN-AMERICANS is
3. ASIAN-AMERICANS is",
V082434,PreRandom.34.  VERSION M or N marital status question,Split administration: M or N,"1. VERSION M (marital status) - Y2a
2. VERSION N (marital status) - Y2b",
V083001a,A1a. [VERSION A] Interested in following campaigns,"Some people don't pay much attention to political campaigns.
How about you?
Would you say that you have been VERY MUCH interested, SOMEWHAT
interested or NOT MUCH interested in the political campaigns so
far this year?","1. Very much interested
3. Somewhat interested
5. Not much interested","-1. INAP, R selected for VERSION B
-8. Don't know
-9. Refused"
V083001b,A1b. [VERSION B] Interested in following campaigns,"How interested are you in information about what's going on in
government and politics?
EXTREMELY INTERESTED, VERY INTERESTED, MODERATELY INTERESTED,
SLIGHTLY INTERESTED, or NOT INTERESTED AT ALL?","1. Extremely interested
2. Very interested
3. Moderately interested
4. Slightly interested
5. Not interested at all","-1. INAP, R selected for VERSION A
-8. Don't know
-9. Refused"
V083002,A2. How much has R thought about election for President,"How much have you thought about the upcoming elections for president?
QUITE A LOT or ONLY A LITTLE?","1. Quite a lot
5. Only a little","-8. Don't know
-9. Refused"
V083003,A3. Does R know where to go to vote in neighborhood,"Do you happen to know where people who live in your neighborhood go
to vote?","1. Yes
5. No
7. R VOL: Vote by mail only","-8. Don't know
-9. Refused"
V083004,A4. Has R ever voted in precinct or election district,Have you ever voted in your precinct or election district?,"1. Yes
5. No
7. R VOL: Vote by mail only","-1. INAP,
-8. Don't know
-9. Refused"
V083005,A5. How often does R vote,"How often would you say you vote?
ALWAYS, NEARLY ALWAYS, PART OF THE TIME, or SELDOM?","1. Always
2. Nearly always
3. Part of the time
4. Seldom","-8. Don't know
-9. Refused"
V083006,A6. How definite is R's intention to vote or not,"If ""1"" represents someone who will DEFINITELY NOT VOTE and ""10""
represents someone who DEFINITELY WILL VOTE, where on this scale
would you place yourself?","1. Definitely will not vote
10. Definitely will vote","-8. Don't know
-9. Refused"
V083007,A7. Did R vote for President in 2004,"In 2004 John Kerry ran on the Democratic ticket against George W.
Bush for the Republicans.  Do you remember for sure whether or not
you voted in that election?","1. Yes, voted
5. No, didn't vote","-8. Don't know
-9. Refused"
V083007a,A7a. Recall of last (2004) Presidential vote choice,Which one did you vote for?,"1. John Kerry
3. George W. Bush
7. Other (SPECIFY)","-1. INAP,
-8. Don't know
-9. Refused"
V083008,A8a. Is there anything R likes about Democratic Pres cand,"Is there anything in particular about BARACK OBAMA that might make
you want to vote for him?","1. Yes
5. No","-8. Don't know
-9. Refused"
V083009,A8b. What is it that R likes about Democratic Pres cand,(What is that?),,-3. Restricted text: not yet coded
V083010,A8c. Is there anything R dislikes about Democratic Pres cand,"Is there anything in particular about BARACK OBAMA that might make you
want to vote AGAINST him?","1. Yes
5. No","-8. Don't know
-9. Refused"
V083011,A8d. What is it that R dislikes about Democratic Pres cand,(What is that?),,-3. Restricted text: not yet coded
V083012,A9a. Is there anything R likes about Republican Pres cand,"Is there anything in particular about JOHN MCCAIN that might make
you want to vote for him?","1. Yes
5. No","-8. Don't know
-9. Refused"
V083013,A9b. What is it that R likes about Republican Pres cand,(What is that?),,-3. Restricted text: not yet coded
V083014,A9c. Is there anything R dislikes about Republican Pres cand,"Is there anything in particular about JOHN MCCAIN that might make you
want to vote AGAINST him?","1. Yes
5. No","-8. Don't know
-9. Refused"
V083015,A9d. What is it that R dislikes about Republican Pres cand,(What is that?),,-3. Restricted text: not yet coded
V083016,A10a. Will R feel happy or sad if Democratic Pres cand won,"If BARACK OBAMA wins the presidential election in November, will you
feel HAPPY, SAD or NEITHER HAPPY NOR SAD?","1. Happy
5. Sad
7. Neither happy nor sad","-8. Don't know
-9. Refused"
V083016a,A10a1. How happy/sad will R be if Democratic Pres cand won,"EXTREMELY happy, MODERATELY happy, or SLIGHTLY happy? /
EXTREMELY sad, MODERATELY sad, or SLIGHTLY sad?","1. Extremely
3. Moderately
5. Slightly","-1. INAP,
-8. Don't know
-9. Refused"
V083016x,A10a1x. SUMMARY: R happy/sad if Democratic Pres cand won,"SUMMARY:
R HAPPY/SAD IF DEMOCRATIC PRESIDENTIAL CANDIDATE WON","1. Extremely happy
2. Moderately happy
3. Slightly happy
4. Neither happy nor sad [7 in A10a]
5. Slightly sad
6. Moderately sad
7. Extremely sad","-8. Don't know (A10a or A10a1)
-9. Refused (A10a or A10a1)"
V083017,A10b. Will R feel happy or sad if Republican Pres cand won,"If JOHN MCCAIN wins the presidential election in November, will you
feel HAPPY, SAD or NEITHER HAPPY NOR SAD?","1. Happy
5. Sad
7. Neither happy nor sad","-8. Don't know
-9. Refused"
V083017a,A10b1a.  How happy/sad will R be if Republican Pres cand won,"EXTREMELY happy, MODERATELY happy, or SLIGHTLY happy? /
EXTREMELY sad, MODERATELY sad, or SLIGHTLY sad?","1. Extremely
3. Moderately
5. Slightly","-1. INAP,
-8. Don't know
-9. Refused"
V083017x,A10b1x. SUMMARY: R happy/sad if Republican Pres cand won,"SUMMARY:
R HAPPY/SAD IF REPUBLICAN PRESIDENTIAL CANDIDATE WON","1. Extremely happy
2. Moderately happy
3. Slightly happy
4. Neither happy nor sad [7 in A10b]
5. Slightly sad
6. Moderately sad
7. Extremely sad","-8. Don't know (A10b or A10b1)
-9. Refused (A10b or A10b1)"
V083018,A11. Does R have access to the internet,Do you have access to the internet or the World Wide Web?,"1. Yes
5. No","-8. Don't know
-9. Refused"
V083019,A11b. [OLD] Days past week watched natl news on TV,"How many days in the PAST WEEK did you watch the NATIONAL network
news on TV?","0. None
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","-1. INAP, R selected for version NEW
-8. Don't know
-9. Refused"
V083019a,A11b1. [OLD] Attention to national (network) news,"Please look at page 1;2 of the booklet.
How much attention do you pay to news on NATIONAL news shows
about the campaign for President -- A GREAT DEAL, QUITE A BIT,
SOME, VERY LITTLE, or NONE?","1. A great deal
2. Quite a bit
3. Some
4. Very little
5. None","-1. INAP, R selected for version NEW;
-8. Don't know
-9. Refused"
V083020a,A11c1a. [OLD] Days past wk watched loc TV news aft/early eve,"How many days in the PAST WEEK did you watch the LOCAL TV news
shows such as ""Eyewitness News"" or ""Action News"" in the LATE
AFTERNOON or EARLY-EVENING?","0. None
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","-1. INAP, R selected for version NEW
-8. Don't know
-9. Refused"
V083020b,A11c1b. [OLD] Days past wk watched local TV news late eve,"How many days in the PAST WEEK did you watch the LOCAL TV news
shows in the LATE EVENING?","0. None
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","-1. INAP, R selected for version NEW
-8. Don't know
-9. Refused"
V083020c,A11c2. [OLD] Attention to local news,"(Please look at page 1;2 of the booklet.)
How much attention do you pay to news on LOCAL news shows
about the campaign for President -- A GREAT DEAL, QUITE A BIT,
SOME, VERY LITTLE, or NONE?","1. A great deal
2. Quite a bit
3. Some
4. Very little
5. None","-1. INAP, R selected for version NEW;
-8. Don't know
-9. Refused"
V083021a,A11d1a. [OLD] Days in past week read a daily newspaper,How many days in the PAST WEEK did you read a daily newspaper?,"0. None
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","-1. INAP, R selected for version NEW
-8. Don't know
-9. Refused"
V083021b,A11d1b. [OLD] Days past week read a daily online newspaper,"How many days in the PAST WEEK did you read a daily newspaper on
the Internet?","0. None
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","-1. INAP, R selected for version NEW
-8. Don't know
-9. Refused"
V083021c,A11d2. [OLD] Did R read about campaign in newspaper,Did you read about the campaign in any newspaper?,"1. Yes
5. No","-1. INAP, R selected for version NEW;
-8. Don't know
-9. Refused"
V083021d,A11d2a. [OLD] Attention to newspaper articles,"(Please look at page 1;2 of the booklet.)
How much attention do you pay to newspaper articles about the
campaign for President -- A GREAT DEAL, QUITE A BIT, SOME, VERY
LITTLE, or NONE?","1. A great deal
2. Quite a bit
3. Some
4. Very little
5. None","-1. INAP, R selected for version NEW;
-8. Don't know
-9. Refused"
V083022,A11e. [OLD] Days in past week listen to radio news,"How many days in the PAST WEEK did you listen to news on the
radio?","0. None
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","-1. INAP, R selected for version NEW
-8. Don't know
-9. Refused"
V083022a,A11e1. [OLD] Attention to radio news,"(Please look at page 1;2 of the booklet.)
How much attention do you pay to news on the radio about the
campaign for President -- A GREAT DEAL, QUITE A BIT, SOME, VERY
LITTLE, or NONE?","1. A great deal
2. Quite a bit
3. Some
4. Very little
5. None","-1. INAP, R selected for version NEW;
-8. Don't know
-9. Refused"
V083023,A12a1. [NEW] Days in typical week review news on internet,"During a typical week, how many days do you watch, read, or listen
to news on the Internet, not including sports?","0. None
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","-1. INAP, R selected for version OLD
-8. Don't know
-9. Refused"
V083023a,A12a1a. [NEW] Time in typical day review news on internet,"On a typical day when you watch, read, or listen to news on the
internet, about how much time do you spend watching or reading
news on the internet, not including sports?",,"-1. INAP, R selected for version OLD;
-8. Don't know
-9. Refused"
V083023b,A12a1a1. [NEW] Attention to internet news,"How much attention do you pay to news about national politics on
the Internet?  A GREAT DEAL, A LOT, A MODERATE AMOUNT, A LITTLE,
or NONE AT ALL?","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all","-1. INAP, R selected for version OLD;
-8. Don't know
-9. Refused"
