var_name,description,question,valid_labels,missing_labels
dem2_schenrl_enrolldkrf,PRE: FTFONLY:School enrollment ofchild(ren)- DK/RF,,"0. Not selected byR
1. Dk selected by R
2. Rfselected by R
0. Not selected byR
1. Dk selected by R
2. Rf selectedby R
","-1. Inapplicable
-1. Inapplicable
"
dem2_inethome,Internet useat home,"DoyouordoesanyoneinthishouseholdconnecttotheInternetfromhome? WebLogic: Online,change 'this' to 'your' and set'from home' in bold type.","1. Yes
2. No
1. Yes
2. No
","-9. Refused
-9. Refused
"
dem2_inettyp,Broadband ordial-up home Internet connection,"Do you currently access the Internet at home using a regular 'dial-up' tele- phone, DSL, cable modem, fiber optics, satellite, wireless (such as Wi-Fi), mobile phone or PDA, or some other broadband internet connection, or something else?","1. A regular 'dial-up' telephone
2. Dsl, cable modem,fiber optics, satellite, wireless
3. Something else
1. A regular 'dial-up'
2. Dsl, cable modem, fiber
3. Something else
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
dem2_landline,Number oflandline telephone numbers at home,"Howmanyresidentiallandlinetelephonenumbersarethereinyourhouse- hold? Aresidentiallandlinenumberisaphonenumberthatcanbeusedto call yourhome, that is not only fora business, and that is nota cell phone.",,
dem2_cellnum,Number ofcell phone numbers in household,How many cell phone numbers are there in your household that are ever answered forpersonal calls?,,
dem2_cellpers,Does Rpersonally have a cell phone,"Do youpersonally have a cell phone, ornot?","1. Yes
2. No
1. Yes
2. No
","-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
dem2_smartph,Is R'scell phone a smartphone,"Doyouhavea'smartphone'ornot? By'smartphone,'wemeanacellphone thatwillrunappsandconnecttotheInternet,likeaniPhone,Blackberry,or Android phone.","1. Yes,have a smartphone
2. No smartphone
1. Yes,have a smartphone
2. No smartphone
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
dem3_grewup,Where Rgrew up,Where wasit that you grew up?,,"-9. Refused
-8. Don't know
-2. Missing; coded in forthcoming release
-2. Missing; coded in forthcoming release
"
dem3_yearscomm,How longlived in this community YRS,How longhave you lived in your presentcommunity? YEARS:,,
dem3_yearscomm_full,PRE: RESTRICTED:How long lived in this communityYRS (full),,,"-3. Restricted access
-3. Restricted access
"
dem3_moscomm,How longlived in this community MONTHS,MONTHS:,,"-3. Restricted access
-3. Restricted access
"
dem3_prevzip,Zip Codeof previous residence,What wasthe zip code where you previouslylived?,,"-3. Restricted access
-3. Restricted access
"
dem3_prevcty,City/state ofprevious residence,What wasthe city and state where youpreviously lived?,,"-1. Inapplicable
-3. Restricted access
-1. Inapplicable
-3. Restricted access
"
dem3_ownhome,Does Rfamily own/rent home,"[Do you/Doesyour family] own your home, payrent, or what?","1. Own home
2. Pay rent
5. Other (SPECIFY)
1. Own home
2. Pay rent
5. Other (SPECIFY)
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
dem3_ownhome_oth,PRE: Otherspecify- Does R family own/rent home,,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
dem3_namech,Name everchanged,"Has your name ever changed or have you never changed your first or last name?/Hasyournameeverchanged(forexample,becauseyougotmar- ried), orhave you never changed your firstor last name?","1. Have changedname
2. Neverchanged name
1. Have changed name
2. Neverchanged name
","-9. Refused
-9. Refused
"
dem3_namechyr,Yearof mostrecent change,What yeardid you most recently change yourname?,,"-3. Restricted access
-3. Restricted access
"
dem3_altname,Use ofalternate names,Have youever gone by an alternative ordifferentname?,"1. Yes
2. No
1. Yes
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
dem3_lenaddr,YearsR livedat address,"How manyyears have you lived at thisaddress? Logic: Message should be: Time period greater than age. If birthyear not in(DK,RF) and LENADDRE not in(DK,RF) and ((2012-birthyear)) > LENADDR thenthe message should display","1. Number of years:
2. Number of years:
3. Number of years:
4. Number of years:
5. Number of years:
6. Number of years:
7. Number of years:
8. Number of years:
9. Numberof years:
","-8. Don't know
-9. Refused
"
dem3_lenaddr_full,PRE: RESTRICTED:YearsR lived at address (full),,,"-3. Restricted access
-3. Restricted access
"
dem3_add5yr_state,"PRE:RESTRICTED:IfRhaslivedincurrentstate<5yrs,Rstate5yrsago",,,"-3. Restricted access
-3. Restricted access
"
dem3_add5yr_samestate,"PRE: IfR has lived in current state<5yrs, R state 5 yrs agosame",,"0. Not same stateas current state
1. Same state as current state
0. Not same state ascurrent state
1. Same stateas current state
","-1. Inapplicable
-2. Missing: previous state notdetermined (DK/RF)
-1. Inapplicable
-2. Missing: previous state not determined (DK/RF)
"
dem3_driver,Have Driver'sLicense,Do youhave a non-expired Driver's License?,"1. Have anon-expired driver's license
2. Do not have one
1. Have anon-expired driver's license
2. Do not have one
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
dem3_passport,Have passport,"Do younow have a non-expired U.S. passport,or do you not have one?","1. Have a validU.S. Passport
2. Do not haveone
1. Have a validU.S. Passport
2. Do not haveone
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
dem3_govtid,Have governmentissued ID,"Doyouhaveanotherformofnon-expired,governmentissuedphotoID,such as astate-issued ID or military ID?","1. Have another form ofid
2. Do not have
1. Have another form ofid
2. Do not have
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
casistart_iwrset4,FTF CASIONLY:CASI SETUP 4,"Youanswerquestionsbytouchingtheresponseoptionwiththepenoryour finger. When a response is selected, it will turn orange. To answer a ques- tion,touchtheresponseyouwantandthenpressnext[>>]. Doyouhavea dog?","1. Yes
2. No
1. Yes
2. No
","-1. Inapplicable
-1. Inapplicable
"
casistart_iwrset6,FTF CASIONLY:CASI SETUP 6,Otherquestionswillaskyoutotypeananswerinwordsinsteadofselecting a response from a list. This morning what did you eat for breakfast? Type in whatyou ate for breakfast and pressnext [>>].,,"-1. Inapplicable
-2. Textresponses available in separatefile
-1. Inapplicable
-2. Textresponses available in separatefile
"
selfgend_gender,FTF CASIONLY:are you (R)male or female,Are youmale or female?,"1. Male
2. Female
","-9. Refused
-8. Don't know
-1. Inapplicable
-1. Inapplicable
"
wealth_stocks,CASI Moneyinvested in Stock Market,"Do you personally, or jointly with a spouse, have any MONEY INVESTED IN THE STOCK MARKET right now -- either in an individual stock or in a mutual fund?","1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
wealth_whoinvest,CASI Workor own investments,"Is that from investments through work, investments made on your own, or both?","1. Investments through work
2. Investments made on your own
3. Both
1. Investments through work
2. Investments made on your own
3. Both
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
wealth_vachome,CASI Ownedvacation home,"Which, if any, of the following have you done? Have you ever owned a vacation homethat was not your main residence,or not? WebLogic: Online,displayitems63.25-2through63.25-6onthesamescreeninagrid. Thestemshouldask￿Which,ifany,ofthefollowinghaveyoueverdone?￿ Theresponsecolumnsshouldbelabeled￿Havedonethis￿and￿Havenot donethis￿. Thestemsshouldallconsistonlyoftheverbphrases: owneda vacationhomethatwasnotyourmainresidence? ownedpropertythatyou rented to someone else? been awarded stock grants or options from your employer? etc.","1. Yes,have done this
2. No, have not
1. Yes,have done this
2. No, have not
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
wealth_ownrental,CASI Ownedproperty that you rented,"Have you ever owned property that you rented to someone else, or have you neverdone this?","1. Yes,have done this
2. No, have not
1. Yes,have done this
2. No, have not
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
wealth_stockgrnts,CASI Awardedstock grants or options,(Haveyouever)Beenawardedstockgrantsoroptionsfromyouremployer? Logic: 1. Yes2. No,"1. Yes,have done this
2. No, have not
1. Yes,have done this
2. No, have not
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
wealth_undland,CASI Ownedunderdeveloped land,(Have you ever) Owned undeveloped land as an investment or for future development?,"1. Yes,have done this
2. No, have not
1. Yes,have done this
2. No, have not
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
wealth_investbus,CASI Investedin someone's business,(Have youever) Invested in someone starting abusiness?,"1. Yes,have done this
2. No, have not
1. Yes,have done this
2. No, have not
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
inc_totinc,CASI Totalincomeamount,"[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you pleasegiveyourbestguess? ] Thenextquestionisabout[thetotalincome of all the members of your family living here / your total income] in 2011, before taxes. This figure should include income from all sources, including salaries,wages,pensions,SocialSecurity,dividends,interest,andallother income. Whatwas[thetotalincomein2011ofallyourfamilymembersliving here /your total income in 2011]?",,"-3. Restricted access
"
inc_totmiss40,CASI Incomeamt missing - ge or lt40K,"[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please giveyour best guess? ] Wasit 40,000or more, or less than that?","2. Lessthan
","-1. Inapplicable
-2. Missing;IWR mistakenly entered '2' in placeof
-8. Don't know
-9. Refused
"
inc_totmiss20,CASI Incomeamt missing - ge or lt20K,"[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please giveyour best guess? ] Wasit 20,000or more, or less than that?","2. Less than20,000
","-1. Inapplicable
-8. Don't know
-9. Refused
"
inc_totl20,CASI Incomeamt missing - categories lt 20K,[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please give your best guess? ] Please mark the answer that includes the income ofall members of your family livinghere in 2011before taxes.,"1. Under
","-1. Inapplicable
-8. Don'tknow
-9. Refused
"
inc_totg20l40,CASI Incomeamt missing - categories 20-40K,[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please give your best guess? ] Please mark the answer that includes the income ofall members of your family livinghere in 2011before taxes.,,"-1. Inapplicable
-8. Don't know
-9. Refused
"
inc_totmiss70,CASI Incomeamt missing - ge or lt70K,"[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please giveyour best guess? ] Wasit 70,000or more, or less than that?","2. Less than70,000
","-1. Inapplicable
-8. Don't know
-9. Refused
"
inc_totg40l70,CASI Incomeamt missing - categories 40-70K,[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please give your best guess? ] Please mark the answer that includes the income ofall members of your family livinghere in 2011before taxes.,,"-1. Inapplicable
-8. Don't know
-9. Refused
"
inc_totmiss100,CASI Incomeamt missing - ge or lt100K,"[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please giveyour best guess? ] Wasit 100,000or more, or less than that?","2. Less than
","-1. Inapplicable
-8. Don't know
-9. Refused
"
inc_totg70l100,CASI Incomeamt missing - categories 70-100K,[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please give your best guess? ] Please mark the answer that includes the income ofall members of your family livinghere in 2011before taxes.,,"-1. Inapplicable
-8. Don't know
-9. Refused
"
inc_totg100,CASI Incomeamt missing - categories 100+K,[/Informationaboutincomeisveryimportanttounderstandhowpeopleare doing financially these days. Your answers are confidential. Would you please give your best guess? ] Please mark the answer that includes the income ofall members of your family livinghere in 2011before taxes.,,"-1. Inapplicable
-8. Don'tknow
-9. Refused
"
inc_incgroup_pre,PRE: CASI/WEB: SUMARY- Pre family income (see also: inc-,,"01. Under
","-9. Refused
"
medsrc_campsrcs_1st,PRE:FTFCASIONLY:Ordr'dmedsrcesRfollowdabtthePres: 1stmentn,,"1. Televisionnews programs(morning or evening)
2. Newspapers
3. Televisiontalk shows, public affairs,or news
4. Internet sites, chat rooms,or blogs
5. Radio newsor talk shows
6. Have not heardanything about the presidential
","-1. Inapplicable
-8. Don't know
-9. Refused
"
medsrc_campsrcs_2nd,PRE:FTFCASIONLY:Ordr'dmedsrcesRfollowdabtthePres: 2ndmentn,,"2. Newspapers
3. Televisiontalk shows, public affairs,or news
4. Internet sites, chatrooms, or blogs
5. Radio newsor talk shows
2. Newspapers
3. Televisiontalk shows,
4. Internet sites, chat rooms,
5. Radio news ortalk shows
","-1. Inapplicable
-1. Inapplicable
"
medsrc_campsrcs_3rd,PRE:FTFCASIONLY:Ordr'dmedsrcesRfollowdabtthePres: 3rdmentn,,"3. Televisiontalk shows, public affairs,or news
4. Internet sites, chat rooms,or blogs
5. Radio newsor talk shows
3. Televisiontalk shows,
4. Internet sites, chat rooms,
5. Radio news ortalk shows
","-1. Inapplicable
-1. Inapplicable
"
medsrc_campsrcs_4th,PRE:FTFCASIONLY:Ordr'dmedsrcesRfollowdabtthePres: 4thmentn,,"4. Internet sites, chat rooms, or blogs
5. Radio news or talk shows
4. Internetsites, chat rooms, or blogs
5. Radio news or talk shows
","-1. Inapplicable
-1. Inapplicable
"
medsrc_campsrcs_5th,PRE:FTFCASIONLY:Ordr'dmedsrcesRfollowdabtthePres: 5thmentn,,"5. Radio news or talk shows
5. Radio news or talk shows
","-1. Inapplicable
-1. Inapplicable
"
medsrc_campsrcs_tvnews,PRE:CASI/WEBMediasrcesRfollowedaboutthePres: mentionTVnews,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
",
medsrc_campsrcs_newsp,PRE:CASI/WEBMediasrcesRfoll'daboutthePres: mentionnewspapers,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
",
medsrc_campsrcs_tvtalk,PRE: CASI/WEBMedia srces R foll'd abt thePres: mention TV talkshows,,"0. Not selected by R
1. Selected by R
0. Not selected byR
1. Selectedby R
",
medsrc_campsrcs_inet,PRE: CASI/WEBMedia sources R followed about thePres: mention Intnet,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
",
medsrc_campsrcs_radio,PRE: CASI/WEBMedia sources R followed about thePres: mention radio,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
",
medsrc_campsrcs_none,PRE: CASI/WEBMedia sources R followed about thePres: none,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
",
medsrc_campsrcs_dkrf,PRE: FTFONLY:CASI Media sourcesR followed about the Pres: DK/RF,,"0. Not selected byR
1. Dk selected by R
2. Rfselected by R
0. Not selected byR
1. Dk selected by R
2. Rf selectedby R
",
medsrc_tvprog_01,PRE: CASI/WEBWhich tv programs R watches regularly: mention 20/20,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_02,PRE: CASI/WEBWhich tv progs R watches regularly: mention 60 Minutes,,"0. Not selected by R
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_03,PRE: CASI/WEB Wch tv prgs R watches reg'ly: mention ABC News Night-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_04,PRE: CASI/WEB Wch tv prgs R watch reg'ly: mentn ABC World News,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_05,PRE:CASI/WEBWhichtvprogsRwatchesregularly: mentionAmericaLive,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_06,PRE:CASI/WEBWchtvprgsRwatchesreg'ly: mentnAmericaThisMorn-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_07,PRE: CASI/WEB Wch tv progs R watches reg'ly: mentn America's News-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_08,PRE:CASI/WEBWchtvprogsRwatchesregularly: mentionAmericanIdol,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_09,PRE: CASI/WEB Wch tv progs R watches regularly: mentn Anderson,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_10,PRE:CASI/WEBWchtvprogsRwatchesreg'ly: mentnTheBigBangThe-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_11,PRE: CASI/WEB Wch tv progs R watches regularly: mentn CBS Evening,,"0. Not selected by R
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_12,PRE:CASI/WEBWchtvprogsRwatchesregularly: mentnCBSThisMorn-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_13,PRE: CASI/WEB Wch tv progs R watches reg'ly: mentn Chris Matthews,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_14,PRE:CASI/WEBWchtvprogsRwatchesregularly: mentionColbertReport,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_15,PRE:CASI/WEBTvprgsRwtchreg'ly: mentnDailyShowwithJonStewart,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_16,PRE:CASI/WEBWchtvprogsRwatchregly: mentnDancingwiththeStars,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_17,PRE: CASI/WEB Which tv progs R watches regularly: mention Dateline,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_18,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionDoctors,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_19,PRE: CASI/WEB Tv prgs R watches reg'ly: mentn The Ellen DeGeneres,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_20,PRE:CASI/WEBWhichtvprogsRwatchesreg'ly: mentionFacetheNation,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_21,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionTheFive,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_22,PRE: CASI/WEBWhich tv progs R watches regularly: mention Fox Report,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_23,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionFrontline,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_24,PRE: CASI/WEB Wch tv progs R watches regly: mentn Good Morning,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_25,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionHannity,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_26,PRE: CASI/WEB Which tv programs R watches regularly: mention Huck-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_27,PRE: CASI/WEBWhich tv programs R watches regularly: mention Insider,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_28,PRE: CASI/WEB Wch tv progs R watches reg'ly: mention Jimmy Kimmel,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_29,PRE: CASI/WEB Which tv programs R watches reg'ly: mention Key and,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_30,PRE:CASI/WEBTvprgsRwatch: TheLateLateShowwithCraigFerguson,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_31,PRE:CASI/WEBTvprgsRwatch: mentionLateShowwithDavidLetterman,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_32,PRE: CASI/WEB Wch tv programs R watches reg'ly: mention Meet the,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_33,PRE:CASI/WEBWchtvprogramsRwatchesreg'ly: mentionTheMentalist,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_34,PRE: CASI/WEB Wch tv programs R watches reg'ly: mentn NBC Nightly,,"0. Not selected by R
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_35,PRE: CASI/WEBWhich tv programs R watches regularly: mention NCIS,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_36,PRE: CASI/WEBWhich tv progs R watches reg'ly: mention O'Reilly Factor,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_37,PRE: CASI/WEB Tv prgs R watches: On the Record with Greta Van Sus-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_38,PRE: CASI/WEBWch tv progs R watches reg'ly: mentn Person of Interest,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_39,PRE: CASI/WEBTv prgs R watch reg'ly: Rock Center with Brian Williams,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_40,PRE:CASI/WEBWchtvprogsRwatchesreg'ly: mentnSaturdayNightLive,,"0. Not selected by R
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_41,PRE: CASI/WEBTv prgs R watches reg'ly: Special Report with Bret Baier,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_42,PRE:CASI/WEBWhichtvprogramsRwatchesreg'ly: mentionTavisSmiley,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_43,PRE:CASI/WEBWhichtvprogsRwatchesreg'ly: mentionSundayMorning,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_44,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionTheView,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_45,PRE: CASI/WEB Which tv programs R watches regularly: mention This,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_46,PRE:CASI/WEBWhichtvprogsRwatchesregularly: mentionTodayShow,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_47,PRE: CASI/WEBWhich tv programs R watches reg'ly: mention The Voice,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_48,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionTheTalk,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_49,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionAlPunto,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_50,PRE:CASI/WEBWhichtvprogsRwatchesregularly: mentionAlRojoVivo,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_51,PRE:CASI/WEBWhichtvprogsRwatchesregularly: mentionAquiyAhora,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_52,PRE:CASI/WEBWhichtvprogsRwatchesreg'ly: mentionCNNenEspanol,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_53,PRE: CASI/WEB Wch tv progs R watches reg'ly: mention Despierta Amer-,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_54,PRE:CASI/WEBWchtvprogsRwatchesreg'ly: mentnElGordoyLaFlaca,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_55,PRE:CASI/WEBWhichtvprogramsRwatchesregularly: mentionEnfoque,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_56,PRE: CASI/WEBWhich tv programs R watches regularly: mention Hoy,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_57,PRE:CASI/WEBWchtvprgsRwatchesreg'ly: LoMejordeCasoCerrado,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_58,PRE: CASI/WEBWch tv progs R watches reg'ly: Noticiero Enrique Gratas,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_59,PRE:CASI/WEBWhichtvprogramsRwatchesreg'ly: NoticieroTelemundo,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_60,PRE:CASI/WEBWchtvprogsRwatchesreg'ly: mentnNoticieroUnivision,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
medsrc_tvprog_61,PRE: CASI/WEBWhich tv progs R watches reg'ly: Pa'lante con Cristiana,,"0. Not selected byR
1. Selected by R
0. Not selected byR
1. Selectedby R
","-1. Inapplicable
-1. Inapplicable
"
